word,FR,ES,CS,DE,PL
aardvark,oryctérope,oso hormiguero,aardvark,Erdferkel,aardvark
abalone,ormeau,abalón,abalone,Abalone,abalone
African elephant,éléphant d'Afrique,elefante africano,Slon africký,Afrikanischer Elefant,Słoń afrykański
African gray parrot,Perroquet gris africain,loro gris africano,Papoušek šedý africký,Afrikanischer Graupapagei,Afrykańska papuga szara
African penguin,Manchot africain,Pingüino africano,Tučňák africký,Afrikanischer Pinguin,Pingwin afrykański
African rock python,Python royal africain,Pitón de roca africana,Krajta skalní africká,Afrikanischer Felsenpython,Afrykański pyton skalny
African wild cat,Chat sauvage africain,Gato salvaje africano,Africká divoká kočka,Afrikanische Wildkatze,Afrykański dziki kot
agouti,agouti,agutí,aguti,Agouti,agouti
airedale terrier,airedale terrier,airedale terrier,airedale teriér,Airedale-Terrier,airedale terrier
Alaskan malamute,malamute d'Alaska,malamute de Alaska,Aljašský malamut,Alaskan Malamute,Alaskan malamute
albatross,albatros,albatros,albatros,Albatros,albatros
algae,algues,algas,řasy,Algen,glony
alligator,alligator,caimán,aligátor,Alligator,aligator
alpaca,alpaga,alpaca,alpaka,Alpaka,alpaka
American bison,bison d'Amérique,Bisonte americano,Americký bizon,Amerikanischer Bison,Żubr amerykański
American cocker spaniel,cocker américain,cocker spaniel americano,Americký kokršpaněl,Amerikanischer Cockerspaniel,Amerykański cocker spaniel
American crocodile,Crocodile américain,Cocodrilo americano,Krokodýl americký,Amerikanisches Krokodil,Krokodyl amerykański
American flamingo,Flamant américain,Flamenco americano,Plameňák americký,Amerikanischer Flamingo,Flaming amerykański
American golden plover,Pluvier doré américain,chorlito dorado americano,Zlatohlávek americký,Amerikanischer Goldregenpfeifer,Amerykańska siewka złota
American Robin,Merle d'Amérique,Petirrojo americano,Robin americký,Amerikanische Robin,Robin amerykański
American tree sparrow,bruant des arbres,Gorrión molinero americano,Americký vrabec stromový,Amerikanischer Feldsperling,Wróbel amerykański
amoeba,amibe,ameba,améby,Amöbe,ameba
amphibian,amphibiens,anfibios,obojživelníci,Amphibien,płaz
anaconda,anaconda,anaconda,anakonda,Anakonda,anakonda
angelfish,poisson-ange,pez ángel,angelfish,Skalare,skalar
angelshark,requin-ange,tiburón ángel,angelshark,Engelshai,rekin anioł
angonoka,angonoka,angonoka,angonoka,angonoka,angonoka
animal,animal,animales,zvířata,Tier,zwierzę
anole,anole,anole,anole,Anolis,anol
ant,fourmi,hormiga,mravenci,Ameise,mrówka
anteater,fourmilier,oso hormiguero,mravenečník,Ameisenbär,mrówkojad
antelope,antilope,antílope,antilopy,Antilope,antylopa
Apatosaurus,Apatosaure,Apatosaurus,Apatosaurus,Apatosaurus,Apatozaur
ape,singe,simio,opice,Affe,małpa
aphid,puceron,pulgón,mšice,Blattlaus,mszyca
arachnid,arachnide,arácnidos,pavoukovci,Spinnentier,pajęczak
Archaeopteryx,Archéoptéryx,Archaeopteryx,Archeopteryx,Archaeopteryx,Archaeopteryx
arctic fox,renard arctique,zorro ártico,arktická liška,Polarfuchs,lis polarny
Arctic tern,Sterne arctique,charrán ártico,Rybák polární,Küstenseeschwalbe,Rybitwa popielata
arctic wolf,loup arctique,lobo ártico,arktický vlk,Polarwolf,wilk arktyczny
armadillo,tatou,armadillo,pásovec,Gürteltier,pancernik
Arsinoitherium,Arsinoitherium,Arsinoitherium,Arsinoitherium,Arsinoitherium,Arsinoitherium
arthropod,arthropode,artrópodo,členovci,Gliederfüßer,stawonóg
artiodactyls,artiodactyles,artiodáctilos,sudokopytníci,Paarhufer,parzystokopytne
asp,asp,asp,asp,asp,boleń
assassin bug,insecte assassin,bicho asesino,brouk assassin,Raubwanze,robak zabójca
aye-aye,aye-aye,aye-aye,aye-aye,aye-aye,aye-aye
baboon,babouin,babuino,pavián,Pavian,pawian
bactrian camel,chameau de Bactriane,camello bactriano,velbloud baktrijský,Trampeltier,wielbłąd baktryjski
badger,blaireau,tejón,jezevec,Dachs,borsuk
bald eagle,aigle chauve,águila calva,orel bělohlavý,Weißkopfseeadler,bielik
bandicoot,bandicoot,bandicoot,bandikut,Bandicoot,bandicoot
barnacle,bernacle,percebe,sudokopytník,Seepocke,pąkla
barracuda,barracuda,barracuda,barakuda,Barrakuda,barakuda
basilisk,basilic,basilisco,bazilišek,Basilisk,bazyliszek
basking shark,requin pèlerin,tiburón peregrino,žralok obrovský,Riesenhai,rekin wygrzewający się
bass,basse,bajo,bass,Barsch,bas
basset hound,basset,basset hound,baset,Dachshund,basset
bat,chauve-souris,murciélago,netopýr,Fledermaus,nietoperz
beagle,beagle,beagle,bígl,Beagle,beagle
bear,ours,oso,medvěd,Bär,niedźwiedź
bearded dragon,dragon barbu,dragón barbudo,vousatý drak,Bartagame,smok brodaty
beaver,castor,castor,bobr,Biber,bóbr
bed bug,punaise de lit,chinche,štěnice,Bettwanze,pluskwa
bee,abeille,abeja,včela,Biene,pszczoła
beetle,scarabée,escarabajo,brouk,Käfer,chrząszcz
beluga whale,béluga,beluga,velryba běluha,Beluga-Wal,wieloryb bieługa
bichon frise,bichon frisé,bichón frisé,bišonek frise,Bichon frise,bichon frise
bighorn sheep,mouflon d'Amérique,borrego cimarrón,ovce tlustorohé,Dickhornschaf,owca bydlęca
bilby,bilby,bilby,bilby,Bilby,bilby
binturong,binturong,binturong,binturong,Binturong,binturong
bird,oiseaux,pájaro,ptáci,Vogel,ptak
bison,bison,bisonte,zubr,Wisent,żubr
bivalve,bivalve,bivalvos,mlži,zweischalige Muschel,małż
black bear,ours noir,oso negro,medvěd černý,Schwarzbär,niedźwiedź czarny
black bear hamster,ours noir hamster,oso negro hámster,černý medvěd křeček,Schwarzer Bär Hamster,niedźwiedź czarny chomik
black caiman,caïman noir,caimán negro,kajman černý,Schwarzer Kaiman,kajman czarny
black racer,coureur noir,corredor negro,černý závodník,Schwarzer Renner,czarny ścigacz
black swan,cygne noir,cisne negro,černá labuť,schwarzer Schwan,czarny łabędź
blackbird,merle,mirlo,kos,Amsel,kos
bloodhound,chien de sang,sabueso,bloodhound,Bluthund,ogar
blowfish,poisson-globe,pez globo,blowfish,Kugelfisch,rozdymka
blue jay,geai bleu,arrendajo azul,modrá sojka,Eichelhäher,sójka błękitna
blue morpho butterfly,papillon morpho bleu,mariposa morfo azul,motýl modrásek morfový,Blauer Morpho-Schmetterling,niebieski motyl morpho
blue ring octopus,pieuvre à anneau bleu,pulpo de anillos azules,chobotnice s modrým kroužkem,Blauring-Oktopus,ośmiornica z niebieskim pierścieniem
blue shark,requin bleu,tiburón azul,žralok modrý,Blauhai,żarłacz błękitny
blue whale,baleine bleue,ballena azul,modrá velryba,Blauwal,płetwal błękitny
blue-tongued skink,scinque à langue bleue,eslizón de lengua azul,skink modroústý,Blauzungenskink,jaszczurka niebieskołuska
bluebird,oiseau bleu,pájaro azul,modrý pták,Blauer Vogel,niebieski ptak
bluefin tuna,thon rouge,atún rojo,tuňák obecný,Blauflossenthunfisch,tuńczyk błękitnopłetwy
boa constrictor,boa constrictor,boa constrictora,hroznýš královský,Boa constrictor,boa dusiciel
bobcat,lynx roux,gato montés,rys,Rotluchs,bobcat
bongo,bongo,bongo,bongo,Bongo,bongo
bonobo,bonobo,bonobo,bonobo,Bonobo,bonobo
bony fish,poissons osseux,peces óseos,kostnaté ryby,Knochenfische,ryba kostna
border collie,border collie,border collie,border kolie,Border Collie,border collie
Boston terrier,terrier de Boston,Boston terrier,Bostonský teriér,Boston Terrier,Boston terrier
bowhead whale,baleine boréale,ballena de Groenlandia,velryba grónská,Grönlandwal,dzioborożec
box turtle,tortue-boîte,tortuga-caja,želva skákavá,Sumpfschildkröte,żółw pudełkowy
boxer,boxer,bóxer,boxer,Boxer,bokser
brittle star,étoile fragile,estrella frágil,hvězda křehká,Schlangenstern,krucha gwiazda
brown bear,ours brun,oso pardo,medvěd hnědý,Braunbär,niedźwiedź brunatny
brown pelican,pélican brun,pelícano pardo,pelikán hnědý,Brauner Pelikan,pelikan brunatny
buffalo,buffle,búfalo,buvol,Büffel,bawół
bug,insecte,insecto,brouk,Wanze,błąd
bull,taureau,toro,býk,Stier,byk
bull shark,requin taureau,tiburón toro,žralok býčí,Bullenhai,rekin byk
bull snake,serpent taureau,serpiente toro,had býk,Bullenschlange,byk wąż
bulldog,bouledogue,bulldog,buldok,Bulldogge,buldog
bullfrog,grenouille,rana toro,býčí žába,Ochsenfrosch,żaba
bumblebee,bourdon,abejorro,čmelák,Hummeln,trzmiel
bushbaby,bushbaby,bushbaby,bushbaby,Buschbaby,bushbaby
butterfly,papillon,mariposa,motýl,Schmetterling,motyl
caiman,caïman,caimán,kajman,Kaiman,kajman
California sea lion,Lion de mer de Californie,león marino de California,Lachtan kalifornský,Kalifornischer Seelöwe,Lew morski kalifornijski
camel,chameau,camello,velbloud,Kamel,wielbłąd
Canada goose,bernache du Canada,Ganso canadiense,Husa kanadská,Kanadagans,gęś kanadyjska
canary,canari,canario,kanárci,Kanarienvogel,kanarek
cape buffalo,buffle du cap,búfalo del cabo,buvol kapský,Kaffernbüffel,bawół przylądkowy
Cape hunting dog,Chien de chasse du Cap,Perro de caza del Cabo,Myslivecký pes,Kap-Jagdhund,Pies myśliwski przylądkowy
capybera,capybera,capybera,capybera,capybera,kapibara
caracal,caracal,caracal,karakal,Karakal,karakal
cardinal,cardinal,cardenal,kardinál,Kardinal,kardynał
caribou,caribou,caribú,karibu,Karibu,karibu
carnivora,carnivores,carnívoros,Carnivora,Fleischfresser,mięsożercy
carpenter ant,fourmi charpentière,hormiga carpintera,mravenec tesařík,Zimmermannsameise,mrówka cieśla
cassowary,casoar,casuario,kasuár,Kasuar,kazuar
cat,chat,gato,kočka,Katze,kot
catamount,monts-chat,catamont,catamount,Katamount,katamount
caterpillar,chenille,oruga,housenka,Raupe,gąsienica
cattle,le bétail,ganado,skot,Rinder,bydło
