word,FR,ES,CS,DE,PL
abdomen,abdomen,abdomen,břicho,Unterleib,brzuch
Adam's apple,pomme d'Adam,Manzana de Adán,Adamovo jablko,Adamsapfel,Jabłko Adama
adenoids,adénoïdes,adenoides,adenoidy,Rachenmandeln,migdałki
adrenal gland,glande surrénale,glándula suprarrenal,nadledviny,Nebennierendrüse,nadnercze
anatomy,anatomie,anatomía,anatomie,Anatomie,anatomia
ankle,cheville,tobillo,kotník,Knöchel,kostka
anus,anus,ano,řitní otvor,Anus,odbyt
appendix,appendice,apéndice,dodatek,Anhang,dodatek
arch,arc,arco,oblouk,Bogen,łuk
arm,bras,brazo,rameno,Arm,ramię
artery,artère,arteria,tepna,Arterie,tętnica
back,dos,espalda,zpět,Rücken,plecy
ball of the foot,pointe du pied,bola del pie,ploska nohy,Fußballen,piłka stopy
belly,ventre,vientre,břicho,Bauch,brzuch
belly button,nombril,ombligo,pupek,Bauchnabel,pępek
big toe,gros orteil,dedo gordo,palec u nohy,Großzehe,duży palec
bladder,vessie,vejiga,močový měchýř,Blase,pęcherz
blood,le sang,sangre,krev,Blut,krew
blood vessels,vaisseaux sanguins,vasos sanguíneos,krevní cévy,Blutgefäße,naczynia krwionośne
body,corps,cuerpo,tělo,Körper,ciało
bone,os,hueso,kosti,Knochen,kość
brain,cerveau,cerebro,mozek,Gehirn,mózg
breast,poitrine,pecho,prsa,Brust,pierś
buttocks,fesses,nalgas,hýždě,Gesäß,pośladki
calf,mollet,pantorrilla,lýtka,Wade,łydka
capillary,capillaire,capilar,kapiláry,Kapillare,kapilara
carpal,carpe,carpiano,karpální,Karpal,nadgarstek
cartilage,cartilage,cartílago,chrupavka,Knorpel,chrząstka
cell,cellule,célula,buňka,Zelle,komórka
cervical vertebrae,vertèbres cervicales,vértebras cervicales,krční obratle,Gebärmutterhalswirbel,kręgi szyjne
cheek,joue,mejilla,tvář,Wange,policzek
chest,poitrine,pecho,hrudník,Brust,klatka piersiowa
chin,menton,barbilla,brada,Kinn,podbródek
circulatory system,système circulatoire,sistema circulatorio,oběhový systém,Kreislaufsystem,układ krążenia
clavicle,clavicule,clavícula,klíční kost,Schlüsselbein,obojczyk
coccyx,coccyx,coxis,kostrč,Steißbein,kość ogonowa
collar bone,clavicule,clavícula,klíční kost,Schlüsselbein,obojczyk
diaphragm,diaphragme,diafragma,membrána,Diaphragma,membrana
digestive system,système digestif,aparato digestivo,trávicí systém,Verdauungssystem,układ trawienny
ear,oreille,oído,ucho,Ohr,ucho
ear lobe,lobe de l'oreille,lóbulo de la oreja,ušní lalůček,Ohrläppchen,płatek ucha
elbow,coude,codo,loket,Ellenbogen,łokieć
endocrine system,système endocrinien,sistema endocrino,endokrinní systém,endokrines System,układ hormonalny
esophagus,œsophage,esófago,jícen,Speiseröhre,przełyk
eye,œil,ojo,oko,Auge,oko
eyebrow,sourcil,ceja,obočí,Augenbraue,brew
eyelashes,cils,pestañas,řasy,Wimpern,rzęsy
eyelid,paupière,párpado,oční víčka,Augenlid,powieka
face,visage,cara,obličej,Gesicht,twarz
fallopian tubes,trompes de Fallope,trompas de Falopio,vejcovody,Eileiter,jajowody
feet,pieds,pies,nohy,Füße,stopy
femur,fémur,fémur,stehenní kost,Oberschenkelknochen,kość udowa
fibula,péroné,peroné,fibula,Wadenbein,kość strzałkowa
filling,remplissage,llenado,náplň,Befüllung,wypełnienie
finger,doigt,dedo,prst,Finger,palec
fingernail,ongle,uña,nehty,Fingernagel,paznokieć
follicle,follicule,folículo,folikul,Follikel,pęcherzyk
foot,pied,pie,noha,Fuß,stopa
forehead,front,frente,čelo,Stirn,czoło
gallbladder,vésicule biliaire,vesícula biliar,žlučník,Gallenblase,pęcherzyk żółciowy
glands,glandes,glándulas,žlázy,Drüsen,gruczoły
groin,aine,ingle,třísla,Leiste,pachwina
gums,gencives,encías,dásně,Zahnfleisch,dziąsła
hair,cheveux,vello,vlasy,Haare,włosy
hand,main,mano,ruka,Hand,dłoń
head,tête,cabeza,hlava,Kopf,głowa
heart,cœur,corazón,srdce,Herz,serce
