word,FR,ES,CS,DE,PL
A-frame,Cadre A,Estructura en A,Rám A,A-Rahmen,Rama A
abbey,abbaye,abadía,opatství,Abtei,opactwo
aircraft hangar,hangar à avions,hangar de aviones,hangár pro letadla,Flugzeughangar,hangar lotniczy
airport terminal,terminal d'aéroport,terminal del aeropuerto,letištní terminál,Flughafen-Terminal,terminal lotniska
amphitheater,amphithéâtre,anfiteatro,amfiteátr,Amphitheater,amfiteatr
apartment building,immeuble d'habitation,edificio de apartamentos,bytový dům,Mehrfamilienhaus,apartamentowiec
aqueduct,aqueduc,acueducto,akvadukt,Aquädukt,akwedukt
arch,arche,arco,oblouk,Bogen,łuk
arena,arène,arena,aréna,arena,arena
armory,armurerie,armería,zbrojnice,Waffenkammer,zbrojownia
assembly hall,salle d'assemblée,salón de actos,aula,Versammlungshalle,aula
barn,grange,granero,stodola,Scheune,stodoła
barracks,casernes,cuarteles,kasárna,Kasernen,koszary
beach house,maison de plage,casa de playa,plážový dům,Strandhaus,dom na plaży
boarding house,pension de famille,pensión,penzion,Internat,pensjonat
boathouse,hangar à bateaux,cobertizo para botes,loděnice,Bootshaus,przystań
bowling alley,bowling,bolera,bowlingová dráha,Bowlingbahn,kręgielnia
bridge,pont,puente,most,Brücke,most
brownstone,pierre brune,piedra rojiza,brownstone,brownstone,brownstone
building,bâtiment,edificio,budova,Gebäude,budynek
bungalow,bungalow,bungalow,bungalov,Bungalow,bungalow
bunker,bunker,búnker,bunkr,Bunker,bunkier
bunkhouse,dortoir,barracón,palanda,Kojenhaus,domek piętrowy
cabana,cabane,cabaña,kabina,Kabine,cabana
cabin,cabane,cabaña,kabina,Hütte,kabina
capitol,capitole,capitolio,Capitol,Kapitol,kapitol
carport,abri de voiture,cochera,přístřešek pro auto,Carport,wiata
castle,château,castillo,hrad,Schloss,zamek
catacomb,catacombe,catacumba,katakomby,Katakombe,katakumba
cathedral,cathédrale,catedral,katedrála,Kathedrale,katedra
chalet,chalet,chalet,chata,Chalet,domek
chapel,chapelle,capilla,kaple,Kapelle,kaplica
chateau,château,castillo,zámek,chateau,zamek
church,église,iglesia,kostel,Kirche,kościół
