word,FR,ES,CS,DE,PL
accelerator,accélérateur,acelerador,akcelerátor,Gaspedal,akcelerator
air conditioner,climatiseur,aire acondicionado,klimatizace,Klimagerät,klimatyzator
air conditioning,climatisation,aire acondicionado,klimatizace,Klimatisierung,klimatyzacja
air filter,filtre à air,filtro de aire,vzduchový filtr,Luftfilter,filtr powietrza
air vent,purgeur d'air,respiradero,odvzdušnění,Entlüftung,odpowietrznik
airbag,airbag,airbag,airbagy,Airbag,poduszka powietrzna
alarm,alarme,alarma,alarm,Alarm,alarm
all-wheel drive,traction intégrale,tracción a las cuatro ruedas,pohon všech kol,Allradantrieb,napęd na wszystkie koła
alternator,alternateur,alternador,alternátor,Lichtmaschine,alternator
antenna,antenne,antena,anténa,Antenne,antena
anti-lock brakes,freins antiblocage,frenos antibloqueo,protiblokovací brzdy,Antiblockiersystem,hamulce przeciwblokujące
armrest,accoudoir,reposabrazos,loketní opěrka,Armlehne,podłokietnik
auto,automobile,auto,auto,Auto,auto
automatic transmission,transmission automatique,transmisión automática,automatická převodovka,Automatikgetriebe,automatyczna skrzynia biegów
automobile,automobile,automóvil,automobil,Automobil,samochód
axle,axe,eje,náprava,Achse,oś
baby car seat,siège auto pour bébé,silla de coche para bebé,dětská autosedačka,Autokindersitz,fotelik samochodowy dla dziecka
baby seat,siège bébé,silla de bebé,dětská autosedačka,Babyschale,fotelik dziecięcy
back-up lights,feux de recul,luces de marcha atrás,záložní světla,Rückfahrscheinwerfer,światła cofania
battery,batterie,batería,baterie,Batterie,akumulator
bench seat,banquette,asiento corrido,Sedadlo lavice,Sitzbank,ławka
bonnet,capot,capó,kapota motoru,Motorhaube,maska
brake light,feu de freinage,luz de freno,brzdové světlo,Bremslicht,światło hamowania
brake pedal,pédale de frein,pedal de freno,brzdový pedál,Bremspedal,pedał hamulca
brakes,freins,frenos,brzdy,Bremsen,hamulce
bucket seat,siège baquet,asiento de cubo,kbelíková sedadla,Schalensitz,fotel kubełkowy
bumper,pare-chocs,parachoques,nárazník,Stoßstange,zderzak
camshaft,arbre à cames,árbol de levas,vačkový hřídel,Nockenwelle,wałek rozrządu
car,voiture,coche,auto,Auto,samochód
carburetor,carburateur,carburador,karburátor,Vergaser,gaźnik
catalytic converter,convertisseur catalytique,catalizador,katalyzátor,Abgaskatalysator,katalizator
chassis,châssis,chasis,podvozek,Fahrgestell,podwozie
child car seat,siège auto pour enfant,asiento infantil,dětská autosedačka,Kinderautositz,fotelik samochodowy dla dziecka
chrome trim,garniture chromée,molduras cromadas,chromové lišty,Chromblende,listwy chromowane
clutch,embrayage,embrague,spojka,Kupplung,sprzęgło
computer,ordinateur,ordenador,počítač,Computer,komputer
console,console,consola,konzola,Konsole,konsola
cooling system,système de refroidissement,sistema de refrigeración,chladicí systém,Kühlsystem,układ chłodzenia
crankshaft,vilebrequin,cigüeñal,klikový hřídel,Kurbelwelle,wał korbowy
cruise control,régulateur de vitesse,control de crucero,tempomat,Tempomat,tempomat
cylinder,cylindre,cilindro,válec,Zylinder,cylinder
dashboard,tableau de bord,salpicadero,přístrojová deska,Armaturenbrett,deska rozdzielcza
defroster,dégivreur,desempañador,rozmrazování,Entfroster,odmrażacz
diesel engine,moteur diesel,motor diesel,vznětový motor,Dieselmotor,silnik wysokoprężny
differential,différentiel,diferencial,diferenciál,Differential,mechanizm różnicowy
dip stick,jauge d'huile,varilla de inmersión,měřící tyčinka,Peilstab,bagnet
door,porte,puerta,dveře,Tür,drzwi
door handle,poignée de porte,tirador de puerta,klika dveří,Türgriff,klamka
drive belt,courroie de transmission,correa de transmisión,hnací řemen,Antriebsriemen,pasek napędowy
drive shaft,arbre de transmission,eje de transmisión,hnací hřídel,Antriebswelle,wał napędowy
driver's seat,siège du conducteur,asiento del conductor,sedadlo řidiče,Fahrersitz,fotel kierowcy
emergency brake,frein d'urgence,freno de emergencia,nouzová brzda,Notbremse,hamulec bezpieczeństwa
emergency lights,éclairage de secours,luces de emergencia,nouzová světla,Notbeleuchtung,światła awaryjne
emissions,émissions,emisiones,emise,Emissionen,emisje
engine,moteur,motor,motor,Motor,silnik
engine block,bloc moteur,bloque motor,blok motoru,Motorblock,blok silnika
exhaust pipe,tuyau d'échappement,tubo de escape,výfukové potrubí,Auspuffrohr,rura wydechowa
exhaust system,système d'échappement,sistema de escape,výfukový systém,Auspuffanlage,układ wydechowy
fan belt,courroie de ventilateur,correa del ventilador,řemen ventilátoru,Keilriemen,pasek wentylatora
fender,garde-boue,guardabarros,blatník,Kotflügel,błotnik
filter,filtre,filtro,filtr,Filter,filtr
floor mat,tapis de sol,alfombrilla,podlahová rohož,Fußmatte,mata podłogowa
fog light,feu de brouillard,faro antiniebla,mlhové světlo,Nebelscheinwerfer,światło przeciwmgielne
four-wheel drive,quatre roues motrices,tracción a las cuatro ruedas,pohon všech kol,Allradantrieb,napęd na cztery koła
frame,cadre,cuadro,rám,Rahmen,rama
fuel,carburant,combustible,palivo,Kraftstoff,paliwo
fuel cap,bouchon de réservoir,tapón de combustible,víčko palivové nádrže,Tankdeckel,korek wlewu paliwa
fuel gauge,jauge de carburant,indicador de combustible,palivoměr,Kraftstoffanzeige,wskaźnik paliwa
fuse,fusible,fusible,pojistky,Sicherung,bezpiecznik
gas,gaz,gas,plyn,Gas,gaz
gas gauge,jauge de gaz,indicador de gasolina,měřič plynu,Benzinuhr,wskaźnik gazu
gas pedal,pédale d'accélérateur,acelerador,plynový pedál,Gaspedal,pedał gazu
gas tank,réservoir de gaz,depósito de gasolina,plynová nádrž,Gastank,zbiornik gazu
gasket,joint d'étanchéité,junta,těsnění,Dichtung,uszczelka
gasoline,essence,gasolina,benzín,Benzin,benzyna
gauge,jauge,manómetro,měřidlo,Lehre,wskaźnik
gear shift,levier de vitesse,cambio de marchas,řadicí páka,Gangschaltung,zmiana biegów
gear stick,levier de vitesse,palanca de cambios,řadicí páka,Schaltknüppel,drążek zmiany biegów
gearbox,boîte de vitesses,caja de cambios,převodovka,Getriebe,skrzynia biegów
glove compartment,boîte à gants,guantera,přihrádka na rukavice,Handschuhfach,schowek
GPS,GPS,GPS,GPS,GPS,GPS
grille,grille,parrilla,mřížka,Kühlergrill,kratka
hand brake,frein à main,freno de mano,ruční brzda,Handbremse,hamulec ręczny
headlamp,phare,faro,světlomety,Scheinwerfer,reflektor
headlight,phare,faro,světlomety,Scheinwerfer,reflektor
headrest,appui-tête,reposacabezas,opěrky hlavy,Kopfstütze,zagłówek
heater,chauffage,calentador,topení,Heizung,nagrzewnica
high-beam headlights,feux de route,faros de carretera,dálkové světlomety,Fernscheinwerfer,światła drogowe
hood,capot,capó,kapota,Motorhaube,maska
horn,klaxon,claxon,klakson,Hupe,klakson
hubcap,enjoliveur,tapacubos,kryt náboje,Radkappe,kołpak
hybrid,hybride,híbrido,hybridní,Hybride,hybryda
ignition,allumage,encendido,zapalování,Zündung,zapłon
instrument panel,tableau de bord,panel de instrumentos,přístrojová deska,Instrumententafel,tablica przyrządów
interior light,éclairage intérieur,luz interior,interiérové světlo,Innenbeleuchtung,oświetlenie wewnętrzne
internal combustion engine,moteur à combustion interne,motor de combustión interna,spalovací motor,Verbrennungsmotor,silnik spalinowy
jack,cric,jack,jack,Buchse,podnośnik
key,clé,llave,klíč,Schlüssel,klucz
license plate,plaque d'immatriculation,matrícula,poznávací značka,Nummernschild,tablica rejestracyjna
lights,lumières,luces,světla,Lichter,światła
lock,serrure,cerradura,zámek,Schloss,blokada
low-beam headlights,feux de croisement,faros de cruce,potkávací světlomety,Abblendlicht-Scheinwerfer,światła mijania
lug bolt,boulon de roue,perno de orejeta,šrouby s okem,Radmutternbolzen,śruba
lug nut,écrou de roue,tuerca de orejeta,matice závěsů,Radnagelmutter,nakrętka
manifold,collecteur,colector,rozvodné potrubí,Krümmer,kolektor
manual transmission,transmission manuelle,transmisión manual,manuální převodovka,Schaltgetriebe,manualna skrzynia biegów
mat,tapis,alfombrilla,rohož,Matte,mata
mirror,miroir,espejo,zrcátko,Spiegel,lustro
moon roof,toit ouvrant,techo corredizo,měsíční střecha,Monddach,dach księżycowy
motor,moteur,motor,motor,Motor,silnik
mud flap,bavette,guardabarros,blatník,Schmutzfänger,klapa przeciwbłotna
muffler,silencieux,silenciador,tlumič výfuku,Schalldämpfer,tłumik
navigation system,système de navigation,sistema de navegación,navigační systém,Navigationssystem,system nawigacji
odometer,compteur kilométrique,cuentakilómetros,tachometr,Kilometerzähler,licznik kilometrów
oil,huile,aceite,olej,Öl,olej
oil filter,filtre à huile,filtro de aceite,olejový filtr,Ölfilter,filtr oleju
oil tank,réservoir d'huile,depósito de aceite,olejová nádrž,Öltank,zbiornik oleju
parking brake,frein de stationnement,freno de estacionamiento,parkovací brzda,Feststellbremse,hamulec postojowy
parking lights,feux de stationnement,luces de estacionamiento,parkovací světla,Standlicht,światła postojowe
passenger seat,siège passager,asiento del pasajero,sedadlo spolujezdce,Beifahrersitz,fotel pasażera
pedal,pédale,pedal,pedály,Pedal,pedał
piston,piston,pistón,píst,Kolben,tłok
power brakes,freins électriques,frenos de potencia,posilovač brzd,Bremsen,hamulce elektryczne
power steering,direction assistée,dirección asistida,posilovač řízení,Servolenkung,wspomaganie kierownicy
power window switch,interrupteur de lève-vitre électrique,interruptor del elevalunas,spínač elektrického ovládání oken,Schalter für elektrische Fensterheber,przełącznik elektrycznie sterowanych szyb
radiator,radiateur,radiador,chladič,Kühler,chłodnica
radio,radio,radio,rádio,Radio,radio
rag top,dessus de chiffon,capota de trapo,hadrový vršek,Kreisel,szmata top
rear window defroster,dégivreur de lunette arrière,desempañador luneta trasera,rozmrazovač zadního okna,Heckscheibenentfroster,odmrażacz tylnej szyby
rear-view mirror,rétroviseur,retrovisor,zpětné zrcátko,Rückspiegel,lusterko wsteczne
reverse light,feu de recul,luz de marcha atrás,zpětné světlo,Rückfahrscheinwerfer,światło cofania
rims,jantes,llantas,ráfky,Felgen,felgi
roof,toit,techo,střecha,Dach,dach
roof rack,galerie de toit,baca,střešní nosič,Dachträger,bagażnik dachowy
rotary engine,moteur rotatif,motor rotativo,rotační motor,Kreiskolbenmotor,silnik rotacyjny
seat,siège,asiento,sedadla,Sitz,siedzenie
seat belt,ceinture de sécurité,cinturón de seguridad,bezpečnostní pásy,Sicherheitsgurt,pas bezpieczeństwa
shift,changer,cambio,řazení,Schaltung,zmiana
shock absorber,amortisseur de chocs,amortiguador,tlumiče,Stoßdämpfer,amortyzator
side airbags,airbags latéraux,airbags laterales,boční airbagy,Seitenairbags,boczne poduszki powietrzne
side mirror,rétroviseur latéral,retrovisor lateral,boční zrcátko,Seitenspiegel,lusterko boczne
spare tire,roue de secours,neumático de repuesto,náhradní pneumatika,Ersatzreifen,opona zapasowa
spark plug,bougie d'allumage,bujía,zapalovací svíčka,Zündkerze,świeca zapłonowa
speaker,intervenant,altavoz,reproduktor,Lautsprecher,głośnik
speedometer,compteur de vitesse,velocímetro,tachometr,Tachometer,prędkościomierz
spoiler,spoiler,alerón,spoiler,Spoiler,spoiler
starter,démarreur,arranque,startér,Anlasser,rozrusznik
steering column,colonne de direction,columna de dirección,sloupek řízení,Lenksäule,kolumna kierownicy
steering wheel,volant,volante,volant,Lenkrad,kierownica
sun visor,pare-soleil,parasol,sluneční clona,Sonnenblende,osłona przeciwsłoneczna
sunroof,toit ouvrant,techo solar,střešní okno,Schiebedach,szyberdach
suspension,suspension,suspensión,zavěšení,Aufhängung,zawieszenie
tachometer,tachymètre,tacómetro,tachometr,Tachometer,obrotomierz
tailgate,hayon,portón trasero,zadní dveře,Heckklappe,tylna klapa
temperature gauge,jauge de température,indicador de temperatura,ukazatel teploty,Temperaturanzeige,wskaźnik temperatury
thermometer,thermomètre,termómetro,teploměr,Thermometer,termometr
tire,pneu,neumático,pneumatiky,Reifen,opona
