word,FR,ES,CS,DE,PL
abaya,abaya,abaya,abája,Abaya,abaja
anorak,anorak,anorak,anorak,Anorak,anorak
apparel,vêtements,ropa,oblečení,Kleidung,odzież
apron,tablier,delantal,zástěra,Schürze,fartuch
ascot tie,cravate ascot,corbata ascot,kravata ascot,Ascot-Krawatte,krawat ascot
attire,vêtements,atuendo,oblečení,Kleidung,strój
balaclava,cagoule,pasamontañas,kukla,Sturmhaube,kominiarka
ball gown,robe de bal,vestido de baile,plesové šaty,Ballkleid,suknia balowa
bandanna,bandana,pañuelo,šátek,Kopftuch,bandanna
baseball cap,casquette de baseball,gorra de béisbol,baseballová čepice,Baseballkappe,czapka z daszkiem
bathing suit,maillot de bain,traje de baño,plavky,Badeanzug,strój kąpielowy
battledress,robe de combat,vestido de batalla,battledress,Kampfanzug,battledress
beanie,bonnet,gorro,čepice,Mütze,czapka
bedclothes,linge de lit,ropa de cama,ložní prádlo,Bettwaren,pościel
bell-bottoms,pantalons à bretelles,pantalones de campana,zvonové kalhoty,Schlaghosen,spodnie dzwony
belt,ceinture,cinturón,opasek,Gürtel,pasek
beret,béret,boina,baret,Baskenmütze,beret
Bermuda shorts,Bermudas,Bermudas,Bermudy,Bermudashorts,Bermudy
bib,bavoir,babero,bryndák,Lätzchen,śliniak
bikini,bikini,bikini,bikiny,Bikini,bikini
blazer,blazer,blazer,sako,Blazer,blezer
bloomers,culottes bouffantes,bombachos,květované kalhotky,Unterhosen,bloomersy
blouse,chemisier,blusa,halenka,Bluse,bluzka
boa,boa,boa,boa,boa,boa
bonnet,bonnet,gorro,čepice,Haube,maska
boot,botte,botas,boty,Stiefel,bagażnik
bow,arc,lazo,luk,Schleife,łuk
bow tie,nœud papillon,pajarita,motýlek,Fliege,muszka
boxer shorts,caleçons,calzoncillos bóxer,boxerky,Boxershorts,bokserki
boxers,caleçons,calzoncillos,boxerky,Boxershorts,bokserki
bra,soutien-gorge,sujetador,podprsenka,BH,biustonosz
bracelet,bracelet,pulsera,náramek,Armband,bransoletka
brassiere,soutien-gorge,sujetador,podprsenka,Büstenhalter,biustonosz
breeches,culotte,pantalones,breeches,Reithosen,bryczesy
briefs,slip,braguitas,kalhotky,Slips,majtki
buckle,boucle,hebilla,přezka,Schnalle,klamra
button,bouton,botón,knoflík,Knopf,guzik
button-down shirt,chemise à boutons,camisa de botones,košile na knoflíky,Button-Down-Hemd,koszula zapinana na guziki
caftan,caftan,caftán,kaftan,Kaftan,kaftan
camisole,camisole,camisola,kamizola,Mieder,kamizelka
camouflage,camouflage,camuflaje,maskáče,Camouflage,kamuflaż
cap,casquette,gorra,čepice,Mütze,czapka
cap and gown,bonnet et toge,toga y birrete,čepice a talár,Kappe und Talar,czapka i toga
cape,cape,capa,pláštěnka,Umhang,peleryna
capris,capris,capris,capris,Caprihosen,capris
cardigan,gilet,cárdigan,svetr,Strickjacke,kardigan
chemise,chemise,chemise,košilka,Unterhemd,koszulka
cloak,cape,capa,plášť,Mantel,peleryna
clogs,sabots,zuecos,dřeváky,Clogs,chodaki
clothes,vêtements,ropa,oblečení,Kleidung,ubrania
clothing,vêtements,ropa,oblečení,Kleidung,odzież
coat,manteau,abrigo,kabát,Mantel,płaszcz
collar,collier,cuello,límec,Kragen,kołnierzyk
corset,corset,corsé,korzet,Korsett,gorset
costume,costume,disfraz,kostým,Kostüm,kostium
coveralls,combinaisons,monos,kombinézy,Schutzanzüge,kombinezony
cowboy boots,bottes de cow-boy,botas vaqueras,kovbojské boty,Cowboystiefel,buty kowbojskie
cowboy hat,chapeau de cow-boy,sombrero de vaquero,kovbojský klobouk,Cowboyhut,kapelusz kowbojski
cravat,cravate,corbata,kravata,Krawatte,fulary
crown,couronne,corona,korunka,Krone,korona
cuff,manchette,puño,manžety,Manschette,mankiet
cuff links,boutons de manchette,gemelos,manžetové knoflíčky,Manschettenknöpfe,spinki do mankietów
culottes,jupe-culotte,culottes,culottes,Culottes,kuloty
cummerbund,pantalon de bain,faja,cummerbund,Kummerbund,cummerbund
dashiki,dashiki,dashiki,dashiki,Dashiki,dashiki
diaper,couche,pañal,plenky,Windel,pielucha
dinner jacket,veste de soirée,smoking,večeřové sako,Smoking,kurtka obiadowa
dirndl,dirndl,dirndl,dirndl,Dirndl,dirndl
drawers,tiroirs,cajones,zásuvky,Schubladen,szuflady
dress,robe,vestido,šaty,Kleid,sukienka
dress shirt,chemise habillée,camisa de vestir,košile na šaty,Oberhemd,koszula
duds,vêtements,ropa,oblečení,Klamotten,ciuchy
dungarees,salopette,petos,dungarees,Latzhosen,ogrodniczki
earmuffs,protège-oreilles,orejeras,chrániče sluchu,Gehörschutz,nauszniki
earrings,boucles d'oreilles,pendientes,náušnice,Ohrringe,kolczyki
elastic,élastique,elástico,elastické,elastisch,elastyczny
evening gown,robe de soirée,vestido de noche,večerní šaty,Abendkleider,suknia wieczorowa
fashion,la mode,moda,móda,Mode,moda
fatigues,treillis,fatigas,únavové oblečení,Arbeitskleidung,spodnie
fedora,fedora,fedora,fedora,Fedora,fedora
fez,fez,fez,fez,fez,fez
flak jacket,gilet pare-balles,chaleco antibalas,neprůstřelná vesta,Splitterschutzweste,kamizelka kuloodporna
flannel nightgown,chemise de nuit en flanelle,camisón de franela,flanelová noční košile,Flanell-Nachthemd,flanelowa koszula nocna
flannel shirt,chemise en flanelle,camisa de franela,flanelová košile,Flanellhemd,koszula flanelowa
flip-flops,tongs,chanclas,žabky,Badelatschen,klapki
formal wear,vêtements de cérémonie,ropa formal,společenské oblečení,formelle Kleidung,odzież wizytowa
frock,robe,vestido,šaty,Kutte,surdut
fur,fourrure,pieles,kožešina,Pelz,futro
fur coat,manteau de fourrure,abrigo de piel,kožich,Pelzmantel,futro
gabardine,gabardine,gabardina,gabardén,Gabardine,gabardyna
gaiters,guêtres,polainas,kamaše,Gamaschen,getry
galoshes,galoches,chanclos,galoše,Galoschen,kalosze
garb,vêtement,ropa,oblečení,Gewand,strój
garment,vêtements,ropa,oděvy,Kleidungsstück,odzież
garters,jarretières,ligueros,podvazky,Strumpfbänder,podwiązki
gear,équipement,equipo,vybavení,Ausrüstung,sprzęt
getup,vêtements,atuendo,getup,Aufmachung,getup
gilet,gilet,chaleco,vesta,Gilet,kamizelka
girdle,gaine,faja,opasek,Hüftgürtel,gorset
glasses,lunettes,gafas,brýle,Brillen,okulary
gloves,gants,guantes,rukavice,Handschuhe,rękawiczki
gown,robe,bata,šaty,Gewand,suknia
halter top,dos nu,camiseta sin mangas,top s ohlávkou,Neckholder-Top,halter top
handbag,sac à main,bolso,kabelka,Handtasche,torebka
handkerchief,mouchoir,pañuelo,kapesník,Taschentuch,chusteczka
hat,chapeau,sombrero,klobouk,Hut,kapelusz
Hawaiian shirt,Chemise hawaïenne,Camisa hawaiana,Havajská košile,Hawaii-Hemd,Hawajska koszula
hazmat suit,combinaison de protection,traje para materiales peligrosos,oblek proti nebezpečným látkám,Schutzanzug,kombinezon hazmat
headscarf,foulard,pañuelo,šátek na hlavu,Kopftuch,chusta
helmet,casque,casco,helma,Helm,kask
hem,ourlet,dobladillo,lem,Saum,rąbek
high heels,talons hauts,tacones altos,vysoké podpatky,Stöckelschuhe,wysokie obcasy
hoodie,sweat à capuche,sudadera,mikina s kapucí,Kapuzenpulli,bluza
hook and eye,crochets et œillets,gancho y ojo,háček a očko,Haken und Ösen,haczyk i oczko
hose,tuyau d'arrosage,manguera,hadice,Schlauch,wąż
hosiery,bonneterie,medias,punčochové zboží,Strumpfwaren,wyroby pończosznicze
hospital gown,blouse d'hôpital,bata de hospital,nemocniční plášť,Krankenhauskittel,fartuch szpitalny
houndstooth,pied-de-poule,pata de gallo,houndstooth,Hahnentritt,pepitka
housecoat,robe de chambre,bata,domácí plášť,Hausmantel,płaszcz
jacket,veste,chaqueta,bunda,Jacke,kurtka
jeans,jeans,vaqueros,džíny,Jeans,jeansy
jersey,maillot,jersey,dres,Trikot,koszulka
jewelry,bijoux,joyas,šperky,Schmuck,biżuteria
jodhpurs,jodhpurs,pantalones de montar,jodhpurs,Jodhpurhose,jodhpurs
jumper,pull-over,jersey,svetr,Pullover,sweter
jumpsuit,combinaison,mono,kombinéza,Jumpsuit,kombinezon
kerchief,kerchief,pañuelo,šátek,Kopftuch,chustka
khakis,kakis,caquis,khaki kalhoty,Khakis,khaki
kilt,kilt,falda escocesa,kilt,Kilt,kilt
kimono,kimono,kimono,kimono,Kimono,kimono
kit,kit,kit,sada,Kit,zestaw
knickers,culottes,bragas,kalhotky,Schlüpfer,majtki
