word,FR,ES,CS,DE,PL
amber,ambre,ámbar,jantar,amber,bursztyn
amethyst,améthyste,amatista,ametyst,amethyst,ametyst
apricot,d'abricot,albaricoque,meruňka,Aprikose,morela
aqua,aqua,aqua,aqua,aqua,aqua
aquamarine,aigue-marine,aguamarina,akvamarín,Aquamarin,akwamaryna
auburn,auburn,auburn,auburn,auburn,kasztan
azure,azur,azure,azure,azur,lazur
beige,beige,beige,béžová,beige,beż
black,noir,negro,černá,schwarz,czarny
blue,bleu,azul,modrá,blau,niebieski
bronze,bronze,bronce,bronz,Bronze,brąz
brown,brun,marrón,hnědá,braun,brązowy
buff,buff,buff,buff,schwabbelig,buff
burnt umber,terre d'ombre brûlée,ombre quemado,pálená umbra,gebrannter Umbra,spalony bursztyn
cardinal,cardinal,cardinal,kardinál,Kardinal,kardynał
carmine,carmin,carmín,karmín,Karmin,karmin
celadon,céladon,celadón,celadon,celadon,seledyn
cerise,cerise,cerise,cerise,cerise,cerise
cerulean,céruléen,cerúleo,cerulean,cerulean,cerulean
charcoal,charbon de bois,carbón,dřevěné uhlí,Holzkohle,węgiel drzewny
chartreuse,chartreuse,chartreuse,chartreuse,Chartreuse,chartreuse
chocolate,de chocolat,chocolate,čokoláda,Schokolade,czekolada
cinnamon,cannelle,canela,skořice,Zimt,cynamon
color,couleur,color,barva,Farbe,kolor
complementary,complémentaires,complementario,komplementární,komplementär,uzupełniający
copper,cuivre,cobre,měď,Kupfer,miedź
coral,corail,coral,korál,Koralle,koral
cream,crème,crema,krém,Sahne,krem
crimson,cramoisi,carmesí,crimson,Karminrot,karmazyn
cyan,cyan,cian,azurová,cyanfarben,cyjan
dark,sombre,oscuro,dark,dunkel,ciemny
denim,jean,vaqueros,džínovina,Denim,denim
desert sand,sable du désert,arena del desierto,pouštní písek,Wüstensand,piasek pustyni
ebony,ébène,ébano,ebenové dřevo,Ebenholz,heban
ecru,écru,ecru,ecru,ecru,ecru
eggplant,aubergine,berenjena,lilek,Aubergine,bakłażan
emerald,émeraude,esmeralda,emerald,Smaragd,szmaragd
forest green,vert forêt,verde bosque,lesní zelená,Waldgrün,zieleń leśna
fuchsia,fuchsia,fucsia,fuchsie,fuchsia,fuksja
gold,l'or,oro,zlato,Gold,złoto
goldenrod,verge d'or,vara de oro,goldenrod,Goldrute,nawłoć
gray,gris,gris,šedá,grau,szary
green,vert,verde,zelená,grün,zielony
grey,gris,gris,šedá,grau,szary
hot pink,rose vif,rosa fuerte,horká růžová,heißes Pink,gorący róż
hue,hue,hue,hue,Farbton,odcień
indigo,indigo,índigo,indigo,Indigo,indygo
ivory,ivoire,marfil,slonová kost,Elfenbein,kość słoniowa
jade,jade,jade,jade,Jade,jadeit
jet,jet,jet,jet,Strahl,strumień
jungle green,vert jungle,verde selva,zelená džungle,Dschungelgrün,zieleń dżungli
kelly green,kelly green,kelly green,kelly green,kellygrün,kelly green
khaki,kaki,caqui,khaki,khaki,khaki
lavender,lavande,lavanda,levandule,Lavendel,lawenda
lemon,de citron,limón,citron,Zitrone,cytryna
light,lumière,luz,světlo,Licht,światło
lilac,lilas,lila,lila,flieder,liliowy
lime,de chaux,cal,vápno,Kalk,wapno
magenta,magenta,magenta,magenta,magenta,magenta
mahogany,acajou,caoba,mahagon,mahagoni,mahoń
maroon,marron,granate,kaštanová,kastanienbraun,bordo
mauve,mauve,malva,mauve,mauve,fiolet
mustard,de moutarde,mostaza,hořčice,Senf,musztarda
navy blue,bleu marine,azul marino,tmavě modrá,Marineblau,granatowy
ocher,ocher,ocre,ocher,ocker,ochra
olive,olive,aceituna,olivový,Olive,oliwka
orange,orange,naranja,oranžová,orange,pomarańcza
orchid,orchidée,orquídea,orchidej,orchidee,orchidea
pale,pâle,pálido,bledý,blass,blady
pastel,pastel,pastel,pastel,pastellfarben,pastel
peach,pêche,melocotón,broskev,Pfirsich,brzoskwinia
periwinkle,pervenche,bígaro,periwinkle,Immergrüner,barwinek
persimmon,kaki,caqui,persimmon,Dattelpflaume,persymona
pewter,étain,peltre,cín,Zinn,cyna
pink,rose,rosa,růžová,rosa,różowy
primary,primaire,primario,primární,primär,podstawowy
puce,puce,puce,puce,puce,śliwka
pumpkin,de citrouille,calabaza,dýně,Kürbis,dynia
purple,violet,morado,fialová,lila,fioletowy
rainbow,arc-en-ciel,arco iris,rainbow,Regenbogen,tęcza
red,rouge,rojo,červená,rot,czerwony
rose,rose,rosa,rose,rosa,róża
ruby,rubis,rubí,rubín,Rubinrot,rubin
russet,roux,russet,russet,Rotbraun,oranż
rust,rouille,óxido,rez,rost,rdza
saffron,safran,azafrán,šafrán,Safran,szafran
salmon,saumon,salmón,losos,Lachs,łosoś
sapphire,saphir,zafiro,safír,Saphir,szafir
scarlet,écarlate,escarlata,scarlet,Scharlachrot,szkarłat
sea green,vert de mer,verde mar,mořská zeleň,seegrün,morska zieleń
secondary,secondaire,secundario,sekundární,sekundär,wtórny
sepia,sépia,sepia,sepia,sepia,sepia
shade,ombre,sombra,stín,schatten,cień
shamrock,trèfle,trébol,shamrock,Kleeblatt,koniczyna
sienna,sienne,siena,sienna,sienna,sienna
silver,argent,plata,stříbro,Silber,srebro
slate,ardoise,pizarra,břidlice,Schiefer,łupek
spectrum,spectre,espectro,spektrum,Spektrum,widmo
steel blue,bleu acier,azul acero,ocelově modrá,Stahlblau,stalowy niebieski
tan,tan,tan,tan,tan,opalenizna
tangerine,mandarine,mandarina,tangerine,Mandarine,mandarynka
taupe,taupe,topo,taupe,taupe,ciemnoszary
teal,sarcelle,cerceta,teal,teal,turkus
