word,FR,ES,CS,DE,PL
anemone,anémone,anémona,sasanka,Anemone,ukwiał
apple blossom,fleur de pommier,flor de manzano,květ jabloně,Apfelblüte,kwiat jabłoni
aster,aster,aster,aster,aster,aster
azalea,azalée,azalea,azalky,azalea,azalia
baby's breath,souffle de bébé,aliento de bebé,dětský dech,Schleierkraut,oddech dziecka
bachelor button,bouton célibataire,botón de soltero,tlačítko pro svobodné mládence,Junggesellenknopf,przycisk kawalera
begonia,bégonia,begonia,begonie,Begonie,begonia
bellflower,fleur de clocher,bellflower,bellflower,Glockenblume,dzwonek
bells of Ireland,cloches d'Irlande,campanas de Irlanda,zvony Irska,Glocken von Irland,dzwony Irlandii
bitterroot,racine amère,raíz amarga,hořký kořen,Bitterwurzel,gorzki korzeń
black-eyed Susan,Susan aux yeux noirs,Susan de ojos negros,černooká Zuzana,Schwarzäugige Susanna,czarnooka zosia
bluebells,clochettes,campanillas,modré zvonky,Glockenblumen,dzwonki
bluebonnet,bonnet bleu,bluebonnet,bluebonnet,bluebonnet,bluebonnet
bougainvillea,bougainvillier,buganvilla,bougainvillea,Bougainvillea,bugenwilla
bouquet,bouquet,ramo,bouquet,Strauß,bukiet
buttercup,bouton d'or,ranúnculo,buttercup,Hahnenfuß,jaskier
butterfly bush,buisson à papillons,arbusto mariposa,motýlí keř,Schmetterlingsstrauch,krzak motyla
calendula,calendula,caléndula,calendula,Calendula,nagietek
California poppy,Pavot de Californie,Amapola de California,Kalifornský mák,Kalifornischer Mohn,Mak kalifornijski
calla lily,lys de calla,cala,kalina,Calla-Lilie,lilia calla
camellia,camélia,camelia,kamélie,Kamelie,kamelia
candytuft,bonbonnière,candytuft,candytuft,candytuft,candytuft
canna,canna,canna,canna,canna,canna
carnation,œillet,clavel,karafiát,Nelke,goździk
carrion flower,fleur de charogne,flor carroñera,mrchožravá květina,Aasblume,kwiat padliny
chicory,chicorée,achicoria,čekanka,Zichorie,cykoria
chrysanthemum,chrysanthème,crisantemo,chryzantéma,Chrysantheme,chryzantema
clover,trèfle,trébol,jetel,Klee,koniczyna
columbine,ancolie,columbine,columbine,Akelei,orlik
cornflower,bleuet,aciano,chrpa,Kornblume,chaber
corpse flower,fleur de cadavre,flor de cadáver,květina mrtvoly,Leichenblume,trupi kwiat
cosmos,cosmos,cosmos,cosmos,Kosmos,kosmos
crocus,crocus,azafrán,crocus,Krokus,krokus
daffodil,jonquille,narciso,narcis,Narzisse,żonkil
dahlia,dahlia,dalia,dahlia,dahlia,dalia
daisy,marguerite,margarita,daisy,Gänseblümchen,stokrotka
dandelion,pissenlit,diente de león,pampeliška,Löwenzahn,mniszek lekarski
delphinium,delphinium,delphinium,delphinium,Rittersporn,delphinium
dianthus,dianthus,dianthus,dianthus,dianthus,dianthus
dogwood,cornouiller,cornejo,dogwood,Hartriegel,dereń
edelweiss,edelweiss,edelweiss,edelweiss,edelweiss,szarotka
floret,floret,ramillete,floret,Blüte,floret
florist,fleuriste,floristería,květinářství,Blumenladen,kwiaciarnia
flower,fleur,flor,květina,Blume,kwiat
forget-me-not,myosotis,nomeolvides,forget-me-not,Vergissmeinnicht,niezapominajka
foxglove,digitale,dedalera,foxglove,Fingerhut,naparstnica
freesia,freesia,fresia,frézie,Freesie,frezja
gardenia,gardénia,gardenia,gardénie,gardenia,gardenia
gerbera daisy,marguerite,margarita gerbera,sedmikráska gerbera,Gerbera-Gänseblümchen,stokrotka gerbera
gillyflower,gillyflower,gillyflower,gillyflower,gillyflower,gillyflower
gladiolus,gladiolus,gladiolo,gladiolus,Gladiole,mieczyk
goldenrod,verge d'or,vara de oro,goldenrod,Goldrute,nawłoć
hawthorn,aubépine,espino,hloh,Weißdorn,głóg
heather,bruyère,brezo,heather,Heidekraut,wrzos
hibiscus,hibiscus,hibisco,ibišek,Hibiskus,hibiskus
hollyhock,rose trémière,malvarrosa,hollyhock,Malve,malwa
honeysuckle,chèvrefeuille,madreselva,zimolez,Geißblatt,wiciokrzew
hydrangea,hortensia,hortensia,hortenzie,Hortensien,hortensja
Indian blanket,Couverture indienne,Manta india,Indiánská přikrývka,Indianerdecke,Indyjski koc
iris,iris,iris,iris,iris,tęczówka
jasmine,jasmin,jazmín,jasmín,jasmin,jaśmin
