word,FR,ES,CS,DE,PL
admiral butterfly,papillon amiral,mariposa almirante,admirál motýl,Admiralfalter,admirał motyl
ambush bug,insecte embusqué,error de emboscada,chyba ze zálohy,Überfallwanze,błąd zasadzki
ant,fourmi,ant,mravenec,ant,mrówka
aphid,puceron,pulgón,mšice,Blattlaus,mszyca
armyworm,chenille légionnaire,gusano militar,pancéřníček,Heerwurm,armyworm
assassin bug,insecte assassin,bicho asesino,assassin bug,Mörderwanze,błąd zabójcy
atlas moth,papillon de nuit de l'atlas,polilla del atlas,můra atlasová,Atlasspinner,ćma atlasowa
backswimmer,meneur de jeu,nadador de espalda,backswimmer,Rückenschwimmer,backswimmer
bedbug,punaise,chinches,štěnice,Bettwanzen,pluskwa
bee,abeille,abeja,včela,Biene,pszczoła
beetle,scarabée,escarabajo,brouk,Käfer,chrząszcz
blue morpho butterfly,papillon morpho bleu,mariposa morfo azul,motýl modrásek morfový,Blauer Morpho-Schmetterling,niebieski motyl morpho
bluet,bluet,bluet,bluet,bluet,bluet
borer,foreur,barrenador,vrták,Bohrer,świder
brown butterfly,papillon brun,mariposa marrón,hnědý motýl,brauner Schmetterling,brązowy motyl
buckeye butterfly,papillon du sarrasin,mariposa buckeye,motýl buckeye,Schmetterlingsblütler,motyl buckeye
bug,insecte,error,chyba,Fehler,błąd
bumblebee,bourdon,abejorro,čmelák,Hummeln,trzmiel
butterfly,papillon,mariposa,motýl,Schmetterling,motyl
carpenter ant,charpentier fourmi,hormiga carpintera,mravenec tesařík,Zimmermannsameise,mrówka cieśla
caterpillar,chenille,oruga,housenka,Raupe,gąsienica
chrysalis,chrysalide,crisálida,chrysalis,chrysalis,poczwarka
cicada,cigale,cigarra,cikády,Zikade,cykada
cockroach,cafard,cucaracha,šváb,Kakerlake,karaluch
comma butterfly,virgule papillon,mariposa coma,motýl s čárkou,Komma-Schmetterling,przecinek motyl
copper butterfly,papillon en cuivre,mariposa de cobre,měděný motýl,Kupferfalter,miedziany motyl
crane fly,grue volante,mosca grulla,jeřábová moucha,Schnake,lot żurawia
cricket,cricket,cricket,kriket,Kricket,krykiet
cutworm,ver gris,gusano cortador,hlístice,Schnittwurm,mątewka
damselfly,demoiselle,caballito del diablo,damselfly,Kleinlibelle,damselfly
darkling beetle,coléoptère noir,escarabajo tizón,brouk tmář,Schwarzkäfer,mroczny chrząszcz
dragonfly,libellule,libélula,vážka,Libelle,ważka
dung beetle,bousier,escarabajo pelotero,hovnivál,Mistkäfer,żuk gnojowy
earwig,perce-oreille,tijereta,earwig,Ohrwurm,skorupiak
egg,œuf,huevo,vejce,Ei,jajko
fire ant,fourmi de feu,hormiga de fuego,mravenec ohnivý,Feuerameise,mrówka ognista
firefly,luciole,luciérnaga,světluška,Glühwürmchen,firefly
flea,puce,pulga,blechy,Floh,pchła
fly,voler,vuela,fly,fliegen,latać
fritillary butterfly,papillon fritillaire,mariposa fritillary,motýl žluťásek barvoměnný,Fritillar-Falter,motyl fritillary
