word,FR,ES,CS,DE,PL
alluvial fan,éventail alluvial,abanico aluvial,aluviální vějíř,Anschwemmungsfächer,wachlarz aluwialny
arch,arche,arco,arch,bogen,łuk
archipelago,archipel,archipiélago,souostroví,Archipel,archipelag
arÃªte,arête,arÃªte,arÃªte,arÃªte,aréte
arroyo,arroyo,arroyo,arroyo,arroyo,arroyo
atoll,atoll,atolón,atol,atoll,atol
badlands,badlands,badlands,badlands,Badlands,badlands
bar,bar,bar,bar,bar,bar
barrier island,île-barrière,isla barrera,bariérový ostrov,Barriereinsel,wyspa barierowa
basin,bassin,cuenca,povodí,Einzugsgebiet,basen
bay,baie,bahía,záliv,Bucht,zatoka
bayou,bayou,bayou,bayou,Bucht,bagno
beach,plage,playa,pláž,Strand,plaża
bight,lumière,bight,bight,Bucht,światło
bluff,bluff,acantilado,blaf,bluff,blef
bowl,cuvette,cuenco,miska,Schale,miska
box canyon,box canyon,cañón de la caja,krabicový kaňon,Box-Canyon,kanion
brook,ruisseau,arroyo,potok,bach,potok
butte,butte,butte,butte,butte,butte
caldera,caldeira,caldera,kaldera,caldera,kaldera
canal,canal,canal,kanál,Kanal,kanał
canyon,canyon,cañón,kaňon,Canyon,kanion
cape,cap,cabo,cape,cape,peleryna
cataract,cataracte,cataratas,katarakta,Katarakt,zaćma
cave,grotte,cueva,jeskyně,Höhle,jaskinia
cavern,caverne,caverna,jeskyně,Kaverne,jaskinia
channel,canal,canal,kanál,Kanal,kanał
chasm,gouffre,abismo,propast,Abgrund,przepaść
chimney,cheminée,chimenea,komín,Schornstein,komin
cinder cone,cône de cendres,cono de ceniza,škvárový kužel,Schlackenkegel,stożek żużlowy
cirque,cirque,circo,cirque,cirque,cirque
cliff,falaise,acantilado,útes,Klippe,klif
coast,côte,costa,pobřeží,Küste,wybrzeże
coastline,littoral,costa,pobřeží,Küstenlinie,linia brzegowa
col,col,col,col,spalte,col
continent,continent,continente,kontinent,Kontinent,kontynent
coral reef,récif corallien,arrecife de coral,korálový útes,Korallenriff,rafa koralowa
cove,crique,cala,zátoka,Bucht,zatoczka
crag,escarpement,peñón,crag,Felsen,turnia
crater lake,lac de cratère,lago del cráter,kráterové jezero,Kratersee,jezioro kraterowe
creek,ruisseau,arroyo,potok,Bach,potok
crest,crête,cresta,hřeben,Wappen,grzebień
crevasse,crevasse,grieta,trhlina,Gletscherspalte,szczelina
dale,dale,dale,dale,dale,dale
dell,dell,dell,dell,dell,dell
delta,delta,delta,delta,delta,delta
depression,dépression,depresión,deprese,Depression,depresja
desert,désert,desierto,poušť,Wüste,pustynia
divide,diviser,dividir,rozdělit,dividieren,podział
dome,dôme,cúpula,kopule,Kuppel,kopuła
drift,dérive,deriva,drift,Drift,dryf
dune,dune,duna,duny,Düne,wydma
equator,équateur,ecuador,rovník,Äquator,równik
escarpment,escarpement,escarpa,eskarpment,uferseite,skarpa
estuary,estuaire,estuario,ústí řeky,Ästuar,ujście
falls,chutes,cae,padá,fällt,spadki
fault,défaut,fallo,závada,Fehler,usterka
firth,firth,firth,firth,firth,jodła
fissure,fissure,fisura,prasklina,Riss,szczelina
fjord,fjord,fiordo,fjord,Fjord,fiord
foothills,contreforts,estribaciones,foothills,Vorgebirge,pogórze
fork,fourche,horquilla,vidlice,Gabel,widelec
gap,écart,brecha,mezera,Lücke,luka
geology,géologie,geología,geologie,Geologie,geologia
geomorphology,la géomorphologie,geomorfología,geomorfologie,Geomorphologie,geomorfologia
geyser,geyser,géiser,gejzír,Geysir,gejzer
glacier,glacier,glaciar,ledovec,Gletscher,lodowiec
glacier cave,grotte du glacier,cueva glaciar,ledovcová jeskyně,Gletscherhöhle,jaskinia lodowcowa
glen,glen,glen,glen,glen,glen
gorge,gorge,desfiladero,rokle,Schlucht,wąwóz
grotto,grotte,gruta,grotta,Grotte,grota
gulch,ravin,barranco,Gulch,Schlucht,wąwóz
gulf,golfe,golfo,záliv,Golf,zatoka
gully,ravin,barranco,strouha,Gully,wąwóz
headland,promontoire,cabecera,headland,Vorgewende,cypel
headwaters,eaux d'amont,cabecera,headwaters,Oberlauf,wody górskie
highland,haut-plateau,altiplano,highland,Hochland,wyżyny
hill,colline,colina,kopec,Hügel,wzgórze
hillside,colline,ladera,na svahu,Abhang,zbocze
hollow,creux,hueco,dutý,hohl,pusty
ice cliff,falaise de glace,acantilado de hielo,ledový útes,Eisklippe,lodowy klif
ice field,champ de glace,campo de hielo,ledové pole,Eisfeld,pole lodowe
iceberg,iceberg,iceberg,iceberg,Eisberg,góra lodowa
