word,FR,ES,CS,DE,PL
aerobics,aérobic,aeróbic,aerobik,Aerobic,aerobik
archer,archer,arquero,archer,Bogenschütze,łucznik
archery,tir à l'arc,tiro con arco,lukostřelba,Bogenschießen,łucznictwo
arena,arène,arena,aréna,arena,arena
arrow,flèche,flecha,šipka,Pfeil,strzałka
athlete,athlète,atleta,sportovec,Sportler,sportowiec
athletics,athlétisme,atletismo,atletika,Leichtathletik,lekkoatletyka
axel,axel,axel,axel,axel,oś
badminton,badminton,bádminton,badminton,Badminton,badminton
ball,ballon,bola,koule,Kugel,piłka
base,base,base,základna,Basis,baza
baseball,baseball,béisbol,baseball,Baseball,baseball
basketball,basket-ball,baloncesto,basketbal,Basketball,koszykówka
bat,chauve-souris,murciélago,netopýr,Fledermaus,nietoperz
baton,bâton,batuta,baton,Staffelstab,pałeczka
batter,battre,bateador,těsto,Teig,pałka
batting,battue,bateando,odpalování,Schläge,bicie
biathlon,biathlon,biatlón,biatlon,Biathlon,biathlon
bicycle,vélo,bicicleta,jízdní kolo,Fahrrad,rower
bicycling,vélo,en bicicleta,cyklistika,Fahrradfahren,jazda na rowerze
bike,vélo,bicicleta,kolo,Fahrrad,rower
biking,vélo,en bicicleta,cyklistika,Radfahren,jazda na rowerze
billiards,billard,billar,kulečník,Billard,bilard
bobsleigh,bobsleigh,bobsleigh,bobová dráha,Bob,bobslej
bocce,bocce,bocce,bocce,Boccia,bocce
boomerang,boomerang,boomerang,bumerang,Bumerang,bumerang
boules,boules,bolos,boules,boules,bule
bow,arc,arco,luk,Bogen,łuk
bowler,joueur de bowling,bombín,bowler,Kegler,melonik
bowling,bowling,bolera,bowling,Kegeln,kręgle
boxer,boxeur,boxeador,boxer,Boxer,bokser
boxing,boxe,boxeo,box,Boxen,boks
bronze medal,médaille de bronze,medalla de bronce,bronzová medaile,Bronzemedaille,brązowy medal
bunt,amortisseur,bunt,bunt,bunt,bunt
canoe,canoë,canoa,kanoe,Kanu,kajak
canoeing,canoë,piragüismo,kanoistika,Kanufahren,kajakarstwo
catch,attraper,captura,zachytit,fangen,połów
catcher,attrapeur,receptor,catcher,Fänger,łapacz
champion,champion,campeón,šampion,Champion,mistrz
championship,championnat,campeonato,šampionát,Meisterschaft,mistrzostwa
cleats,crampons,tacos,cepíny,Stollen,knagi
club,club,club,klub,Verein,klub
coach,entraîneur,entrenador,trenér,Coach,trener
compete,concourir,compita,soutěžit,konkurrieren,konkurować
competing,concurrentes,compitiendo,konkurenční,konkurrierende,konkurencyjny
competition,compétition,concurso,soutěž,Wettbewerb,konkurs
competitor,concurrent,competidor,konkurent,Wettbewerber,konkurent
crew,l'équipage,tripulación,posádka,Mannschaft,załoga
cricket,cricket,grillo,kriket,Grille,krykiet
croquet,croquet,croquet,kroket,Krocket,krokiet
cross country,cross country,campo a través,cross country,Querfeldein,cross country
cue,cue,cue,nápověda,Stichwort,wskazówka
curling,curling,curling,curling,Curling,curling
cycle,cycle,ciclo,cyklus,Zyklus,cykl
cycling,cyclisme,ciclismo,cyklistika,Radfahren,jazda na rowerze
cyclist,cycliste,ciclista,cyklista,Radfahrer,rowerzysta
dart,dart,dardo,šipka,dart,rzutka
dartboard,fléchettes,diana,šipky,Dartscheibe,tarcza
deadlifting,levage mortuaire,levantamiento de peso muerto,mrtvý tah,Deadlifting,martwy ciąg
decathlon,décathlon,decathlon,desetiboj,Zehnkampf,dziesięciobój
defense,défense,defensa,obrana,Verteidigung,obrona
diamond,diamant,diamante,diamant,Diamant,diament
discus,discus,disco,disk,Diskus,dysk
dive,plonger,bucear,potápění,tauchen,nurkowanie
diver,plongeur,buceador,potápěč,Taucher,nurek
diving,plongée,buceo,potápění,Tauchen,nurkowanie
dodgeball,balle au prisonnier,balón prisionero,vybíjená,dodgeball,unihokej
doubleheader,double tête d'affiche,doble jornada,doubleheader,Doubleheader,doubleheader
dugout,pirogue,dugout,dugout,Einbaum,ziemianka
épée,épée,espada,épée,épée,épée
equestrian,équestre,ecuestre,jezdectví,Reitsport,jeździectwo
equipment,équipement,equipo,zařízení,Ausrüstung,wyposażenie
exercise,exercer,ejercicio,cvičení,Übung,ćwiczenie
fencing,clôture,esgrima,oplocení,fechten,ogrodzenie
field,champ,campo,pole,Feld,pole
field hockey,hockey sur gazon,hockey sobre hierba,pozemní hokej,Feldhockey,hokej na trawie
fielder,champignon,jardinero,fielder,Feldspieler,fielder
fielding,champ,campo,pole,Feldarbeit,fielding
figure skating,patinage artistique,patinaje artístico,krasobruslení,Eiskunstlauf,łyżwiarstwo figurowe
fitness,la forme physique,fitness,fitness,Fitness,fitness
football,football,fútbol,fotbal,Fußball,piłka nożna
forward,avancer,adelante,dopředu,vorwärts,do przodu
free throw,lancer franc,tiro libre,volný hod,Freiwurf,rzut wolny
Frisbee,Frisbee,Frisbee,Frisbee,Frisbee,Frisbee
game,jeu,juego,hra,Spiel,gra
gear,l'engrenage,engranaje,převodovka,Getriebe,przekładnia
geocaching,géocaching,geocaching,geocaching,Geocaching,geocaching
go,aller,ir,go,gehen,iść
goal,objectif,objetivo,cíl,Ziel,cel
goalie,gardien,portero,brankář,Torwart,bramkarz
gold medal,médaille d'or,medalla de oro,zlatá medaile,Goldmedaille,złoty medal
golf,golf,golf,golf,Golf,golf
golfer,golfeur,golfista,golfista,golfer,golfista
golfing,golf,golf,golf,golfen,golf
guard,garde,guardia,stráž,Wache,strażnik
gym,gymnase,gimnasio,tělocvična,Fitnessstudio,siłownia
gymnasium,gymnase,gimnasio,tělocvična,Sporthalle,sala gimnastyczna
gymnast,gymnaste,gimnasta,gymnasta,Turnerin,gimnastyczka
gymnastics,gymnastique,gimnasia,gymnastika,Gymnastik,gimnastyka
halftime,mi-temps,medio tiempo,poločas,halbstunde,półmetek
hammer throw,lancer de marteau,lanzamiento de martillo,hod kladivem,Hammerwurf,rzut młotem
handball,handball,balonmano,házená,handball,piłka ręczna
hang gliding,deltaplane,ala delta,létání na rogalu,Drachenfliegen,lotniarstwo
hardball,hardball,bola dura,hardball,Hardball,hardball
helmet,casque,casco,přilba,Helm,kask
heptathlon,heptathlon,heptatlón,sedmiboj,heptathlon,heptathlon
high jump,saut en hauteur,salto de altura,skok do výšky,Hochsprung,skok wzwyż
hitter,cogneur,bateador,hitter,Hitter,hitter
hockey,hockey,hockey,hokej,Eishockey,hokej
hole-in-one,trou en un,hoyo en uno,hole-in-one,Hole-in-one,hole-in-one
home,domicile,Inicio,home,Heimat,dom
home plate,plaque d'immatriculation,home plate,domovská deska,Grundplatte,płyta główna
home run,home run,jonrón,home run,Homerun,home run
home team,équipe locale,equipo local,domácí tým,Heimteam,drużyna gospodarzy
hoop,cerceau,aro,obruč,reifen,obręcz
horseshoes,fers à cheval,herraduras,podkovy,Hufeisen,podkowy
huddle,caucus,huddle,huddle,.,huddle
hurdle,obstacle,valla,překážka,Hürde,przeszkoda
ice hockey,hockey sur glace,hockey sobre hielo,lední hokej,Eishockey,hokej na lodzie
ice rink,patinoire,pista de hielo,ledová plocha,Eislaufbahn,lodowisko
ice skates,patins à glace,patines de hielo,lední brusle,Schlittschuhe,łyżwy
ice skating,patinage sur glace,patinaje sobre hielo,bruslení,Schlittschuhlaufen,łyżwiarstwo
infield,champ,infield,pole,infield,pole bramkowe
infielder,joueur de champ,infielder,infielder,Infielder,zawodnik
inline skates,patins à roues alignées,patines en línea,inline brusle,Inline-Skates,łyżworolki
inning,inning,inning,inning,inning,inning
jai-alai,jai-alai,jai-alai,jai-alai,jai-alai,jai-alai
javelin,javelot,jabalina,oštěp,Speer,oszczep
jog,jog,jog,jog,rütteln,jog
jogger,joggeur,jogger,jogger,Jogger,biegacz
judo,judo,judo,judo,Judo,judo
jump,sauter,saltar,skok,springen,skok
jump rope,corde à sauter,saltar la cuerda,švihadlo,Springseil,skakanka
jumper,cavalier,puente,jumper,Springerin,skoczek
jumping,sauter,saltando,jumping,springen,skoki
karate,karaté,karate,karate,Karate,karate
kayak,kayak,kayak,kajak,Kajak,kajak
kayaker,kayakiste,kayakista,kajakář,Kajakfahrer,kajakarz
kayaking,kayak,kayak,kajak,Kajakfahren,kajakarstwo
kickball,kickball,kickball,kickball,Kickball,piłka kopana
kite,cerf-volant,cometa,drak,Drachen,latawiec
kneepads,genouillères,rodilleras,chrániče kolen,Knieschoner,nakolanniki
kung fu,kung fu,kung fu,kung fu,Kung-Fu,kung fu
lacrosse,crosse,lacrosse,lakros,Lacrosse,lacrosse
lawn bowling,bowling sur gazon,bolos sobre hierba,travnatý bowling,Rasenbowling,kręgle na trawie
league,ligue,liga,liga,Liga,liga
long jump,saut en longueur,salto de longitud,skok do dálky,Weitsprung,skok w dal
lose,perdre,perder,ztratit,verlieren,przegrać
