word,FR,ES,CS,DE,PL
acorn squash,courge à glands,calabaza bellota,žaludová dýně,Eichelkürbis,kabaczek żołędziowy
alfalfa,luzerne,alfalfa,vojtěška,Alfalfa,lucerna
artichoke,artichaut,alcachofa,artyčok,Artischocke,karczoch
arugula,roquette,rúcula,rukola,Rucola,rukola
asparagus,asperges,espárragos,chřest,Spargel,szparagi
avocado,avocat,aguacate,avokádo,Avocado,awokado
bamboo shoots,pousses de bambou,brotes de bambú,bambusové výhonky,Bambussprossen,pędy bambusa
basil,basilic,albahaca,bazalka,Basilikum,bazylia
beans,haricots,judías,fazole,Bohnen,fasola
beets,betteraves,remolacha,řepa,Rüben,buraki
bell pepper,poivron,pimiento,paprika,Paprika,papryka
black-eyed peas,pois à œil noir,guisantes negros,hrách s černýma očima,schwarzäugige Erbsen,groszek czarnooki
broccoli,brocoli,brócoli,brokolice,Brokkoli,brokuł
Brussels sprouts,Choux de Bruxelles,Coles de Bruselas,Růžičková kapusta,Rosenkohl,Brukselka
capers,câpres,alcaparras,kapary,Kapern,kapary
carrot,carotte,zanahoria,mrkev,Karotte,marchew
cauliflower,chou-fleur,coliflor,květák,Blumenkohl,kalafior
celeriac,céleri-rave,apionabo,celer,Knollensellerie,seler
celery,céleri,apio,celer,Staudensellerie,seler
chard,chard,acelga,chard,Mangold,broda
chick peas,pois chiches,garbanzos,cizrna,Kichererbsen,ciecierzyca
Chinese cabbage,Chou chinois,Col china,Čínské zelí,Chinakohl,Kapusta pekińska
chives,ciboulette,cebollino,pažitka,Schnittlauch,szczypiorek
collard greens,feuilles de chou,berza,zelený řapíkatý salát,Blattkohl,kapusta włoska
cress,cress,berro,řeřicha,Kresse,rzeżucha
cucumber,concombre,pepino,okurka,Gurke,ogórek
daikon,daikon,daikon,daikon,Daikon,daikon
dandelion greens,feuilles de pissenlit,hojas de diente de león,pampelišková zelenina,Löwenzahngrün,mniszek lekarski
eggplant,aubergine,berenjena,lilek,Aubergine,bakłażan
endive,endive,escarola,endivie,Endivie,endywia
fava bean,fève,haba,fazole fava,Favabohne,bób
fennel,fenouil,hinojo,fenykl,Fenchel,koper włoski
garlic,l'ail,ajo,česnek,Knoblauch,czosnek
ginger,gingembre,jengibre,zázvor,Ingwer,imbir
gourd,gourde,calabaza,tykev,Kalebasse,tykwa
green bean,haricot vert,judía verde,zelené fazole,grüne Bohne,zielona fasola
greens,verts,verdes,zelená,Grüne,zieloni
hot chili peppers,piments forts,pimientos picantes,pálivé chilli papričky,scharfe Chilischoten,ostre papryczki chili
iceberg lettuce,laitue iceberg,lechuga iceberg,ledový salát,Eisbergsalat,sałata lodowa
jicama,jicama,jícama,jicama,Jicama,jicama
kale,chou frisé,col rizada,kapusta,Grünkohl,jarmuż
kohlrabi,chou-rave,colinabo,kedlubny,Kohlrabi,kalarepa
leek,poireau,puerro,pórek,Lauch,por
lentils,lentilles,lentejas,čočka,Linsen,soczewica
lettuce,laitue,lechuga,salát,Kopfsalat,sałata
lima bean,haricot de Lima,haba,fazole lima,Limabohne,fasola lima
maize,maïs,maíz,kukuřice,Mais,kukurydza
mung bean,haricot mungo,judía mungo,fazole mungo,Mungobohne,fasola mung
mushroom,champignon,seta,houby,Pilz,grzyb
mustard greens,feuilles de moutarde,hojas de mostaza,hořčičná zelenina,Senfkörner,gorczyca
okra,gombo,okra,okra,Okra,okra
olive,olive,oliva,olivový,Olivenöl,oliwka
onion,oignon,cebolla,cibule,Zwiebel,cebula
parsley,persil,perejil,petržel,Petersilie,pietruszka
parsnip,panais,chirivía,pastinák,Pastinaken,pasternak
pattypan squash,courge de Pattypan,calabaza pattypan,pattypan squash,Pattypan-Kürbis,kabaczek pattypan
pea,pea,guisante,hrách,Erbsen,groszek
peanut,arachide,cacahuete,arašídy,Erdnuss,orzeszek ziemny
peapod,peapod,peapod,peapod,Erbsenschote,peapod
peppers,poivrons,pimientos,papriky,Paprika,papryka
pickle,décaper,pepinillo,pickle,beizen,ogórek
potato,pomme de terre,patata,brambory,Kartoffel,ziemniak
pumpkin,citrouille,calabaza,dýně,Kürbis,dynia
radicchio,radicchio,achicoria,radicchio,Radicchio,radicchio
radish,radis,rábano,ředkvičky,Rettich,rzodkiewka
rhubarb,rhubarbe,ruibarbo,rebarbora,Rhabarber,rabarbar
rocket,fusée,cohete,raketa,Rakete,rakieta
romaine,romaine,romana,romaine,romaine,romaina
rutabaga,rutabaga,colinabo,brukev,Steckrübe,brukiew
salad,salade,ensalada,salát,Salat,sałatka
salsa,salsa,salsa,salsa,salsa,salsa
salsify,salsifier,salsifí,salsify,Schwarzwurzel,salsefia
scallion,échalote,cebolleta,scallion,Jakobsmuschel,szalotka
seaweed,algue,algas,mořské řasy,Seegras,wodorosty
shallot,échalote,chalote,šalotka,Schalotte,szalotka
sorrel,oseille,acedera,šťovík,Sauerampfer,szczaw
soybean,soja,soja,sójové boby,Sojabohnen,soja
spinach,épinards,espinacas,špenát,Spinat,szpinak
sprouts,pousses,brotes,klíčky,Sprossen,kiełki
spuds,spuds,spuds,spuds,Spuds,kiełki
squash,courge,calabaza,squash,Kürbis,squash
string bean,haricot à rames,judía verde,fazole na provázku,Saubohne,fasolka szparagowa
succotash,succotash,succotash,succotash,Succotash,sukkotasz
sweet potato,patate douce,batata,sladké brambory,Süßkartoffel,słodki ziemniak
Swiss chard,Bette à carde,Acelga,Švýcarský mangold,Mangold,Boćwina szwajcarska
taro,taro,taro,taro,Taro,taro
tomatillo,tomatillo,tomatillo,tomatillo,Tomatillo,tomatillo
tomato,tomate,tomate,rajče,Tomate,pomidor
tuber,tubercule,tubérculo,hlízy,Knolle,bulwa
turnip,navet,nabo,tuřín,Rübe,rzepa
vegetable,légumes,verduras,zelenina,Gemüse,warzywo
wasabi,wasabi,wasabi,wasabi,Wasabi,wasabi
water chestnut,châtaigne d'eau,castaña de agua,vodní kaštan,Wasserkastanie,kasztanowiec
watercress,cresson de fontaine,berros,řeřicha,Brunnenkresse,rukiew wodna
yam,yam,ñame,yam,yam,ignam
zucchini,courgettes,calabacín,cuketa,Zucchini,cukinia
