EN,FR,ES,CS,DE,PL
aardvark,oryctérope,aardvark,aardvark,Erdferkel,aardvark
abalone,ormeau,abulón,abalone,Abalone,uchowiec
African elephant,Éléphant d'Afrique,Elefante africano,Slon africký,Afrikanischer Elefant,Słoń afrykański
African gray parrot,Perroquet gris africain,Loro gris africano,Papoušek šedý africký,Afrikanischer Graupapagei,Afrykańska papuga szara
African penguin,Manchot africain,Pingüino africano,Tučňák africký,Afrikanischer Pinguin,Pingwin afrykański
African rock python,Python de roche africain,Pitón de roca africana,Krajta skalní africká,Afrikanischer Felsenpython,Afrykański pyton skalny
African wild cat,Chat sauvage africain,Gato salvaje africano,Africká kočka divoká,Afrikanische Wildkatze,Afrykański dziki kot
agouti,agouti,agutí,agouti,agouti,agouti
airedale terrier,airedale terrier,airedale terrier,airedale teriér,Airedale-Terrier,airedale terrier
Alaskan malamute,Malamute d'Alaska,Malamute de Alaska,Aljašský malamut,Alaskan Malamute,Alaskan malamute
albatross,albatros,albatros,albatros,Albatros,albatros
algae,algues,algas,řasy,Algen,glony
alligator,alligator,caimán,aligátor,Alligator,aligator
alpaca,alpaga,alpaca,alpaka,Alpaka,alpaka
American bison,Bison d'Amérique,Bisonte americano,Bizon americký,Amerikanischer Bison,Żubr amerykański
American cocker spaniel,Cocker américain,cocker spaniel americano,Americký kokršpaněl,Amerikanischer Cockerspaniel,Amerykański cocker spaniel
American crocodile,Crocodile américain,Cocodrilo americano,Krokodýl americký,Amerikanisches Krokodil,Krokodyl amerykański
American flamingo,Flamant américain,Flamenco americano,Plameňák americký,Amerikanischer Flamingo,Flaming amerykański
American golden plover,Pluvier doré,Chorlito dorado americano,Zlatohlávek americký,Amerikanischer Goldregenpfeifer,Amerykańska siewka złota
American Robin,Merle d'Amérique,Petirrojo americano,Robin americký,Wanderdrossel,Robin amerykański
American tree sparrow,Bruant des arbres,Gorrión molinero americano,Americký vrabec stromový,Feldsperling,Wróbel amerykański
amoeba,amibe,ameba,améba,Amöbe,ameba
amphibian,amphibien,anfibio,obojživelníci,Amphibien,płaz
anaconda,anaconda,anaconda,anakonda,Anakonda,anakonda
angelfish,poisson-ange,pez ángel,angelfish,Skalar,angelfish
angelshark,requin des anges,angelshark,angelshark,Engelshai,angelshark
angonoka,angonoka,angonoka,angonoka,angonoka,angonoka
animal,animal,animal,zvířata,Tier,zwierzę
anole,anole,anole,anole,Anole,anol
ant,fourmi,hormiga,mravenci,Ameise,mrówka
anteater,fourmilier,oso hormiguero,mravenečník,Ameisenbär,mrówkojad
antelope,antilope,antílope,antilopy,Antilope,antylopa
Apatosaurus,Apatosaure,Apatosaurus,Apatosaurus,Apatosaurus,Apatozaur
ape,singe,mono,opice,Affen,małpa
aphid,puceron,pulgón,mšice,Blattlaus,mszyca
arachnid,arachnide,arácnido,arachnid,Spinnentier,pajęczak
Archaeopteryx,Archéoptéryx,Archaeopteryx,Archeopteryx,Archaeopteryx,Archaeopteryx
arctic fox,renard arctique,zorro ártico,arktická liška,Polarfuchs,lis polarny
Arctic tern,Sterne arctique,Charrán ártico,Rybák polární,Küstenseeschwalbe,Rybitwa popielata
arctic wolf,loup arctique,lobo ártico,arktický vlk,Polarwolf,wilk arktyczny
armadillo,tatou,armadillo,pásovec,Gürteltier,pancernik
Arsinoitherium,Arsinoitherium,Arsinoitherium,Arsinoitherium,Arsinoitherium,Arsinoitherium
arthropod,arthropode,artrópodo,členovci,Arthropoden,stawonóg
artiodactyls,artiodactyles,artiodáctilos,sudokopytníci,Paarhufer,parzystokopytne
asp,asp,asp,asp,asp,boleń
assassin bug,insecte assassin,bicho asesino,assassin bug,Raubwanze,błąd zabójcy
aye-aye,aye-aye,aye-aye,aye-aye,aye-aye,aye-aye
baboon,babouin,babuino,pavián,Pavian,pawian
bactrian camel,chameau de Bactriane,camello bactriano,velbloud baktrijský,Trampeltier,wielbłąd baktryjski
badger,blaireau,tejón,jezevec,Dachs,borsuk
bald eagle,pygargue à tête blanche,águila calva,orel bělohlavý,Weißkopfseeadler,bielik
bandicoot,bandicoot,bandicoot,bandicoot,bandicoot,bandicoot
barnacle,bernacle,percebe,barnacle,Rankenfußkrebs,pąkla
barracuda,barracuda,barracuda,barracuda,Barrakuda,barakuda
basilisk,basilic,basilisco,bazilišek,Basilisk,bazyliszek
basking shark,requin pèlerin,tiburón peregrino,žralok obrovský,Riesenhai,rekin wygrzewający się
bass,basse,bajo,basy,Bass,bas
basset hound,basset,basset hound,baset,Dachshund,basset
bat,chauve-souris,murciélago,netopýr,Fledermaus,nietoperz
beagle,beagle,beagle,bígl,Beagle,beagle
bear,ours,oso,medvěd,Bär,niedźwiedź
bearded dragon,dragon barbu,dragón barbudo,vousatý drak,Bartagame,smok brodaty
beaver,castor,castor,bobr,Biber,bóbr
bed bug,punaise de lit,chinche,štěnice,Bettwanze,pluskwa
bee,abeille,abeja,včela,Biene,pszczoła
beetle,scarabée,escarabajo,brouk,Käfer,chrząszcz
beluga whale,béluga,beluga,velryba běluha,Beluga-Wal,wieloryb bieługa
bichon frise,bichon frisé,bichón frisé,bišonek frise,Bichon frise,bichon frise
bighorn sheep,mouflon d'Amérique,borrego cimarrón,ovce tlustorohé,Dickhornschaf,owca bydlęca
bilby,bilby,bilby,bilby,Bilby,bilby
binturong,binturong,binturong,binturong,binturong,binturong
bird,oiseau,pájaro,pták,Vogel,ptak
bison,bison,bisonte,bizon,Bison,żubr
bivalve,bivalve,bivalvo,mlži,zweischalige Muschel,małża
black bear,ours noir,oso negro,černý medvěd,Schwarzbär,czarny niedźwiedź
black bear hamster,hamster ours noir,hámster oso negro,černý medvěd křeček,Schwarzer Bär Hamster,niedźwiedź czarny chomik
black caiman,caïman noir,caimán negro,kajman černý,Schwarzer Kaiman,kajman czarny
black racer,coureur noir,corredor negro,černý závodník,Schwarzer Renner,czarny zawodnik
black swan,cygne noir,cisne negro,černá labuť,schwarzer Schwan,czarny łabędź
blackbird,merle,mirlo,blackbird,Amsel,kos
bloodhound,limier,sabueso,bloodhound,Bluthund,ogar
blowfish,poisson-souffle,pez globo,blowfish,Kugelfisch,rozdymka
blue jay,geai bleu,arrendajo azul,modrá sojka,Blauhäher,sójka błękitna
blue morpho butterfly,papillon morpho bleu,mariposa morfo azul,motýl modrásek morfový,Blauer Morpho-Schmetterling,niebieski motyl morpho
blue ring octopus,pieuvre à anneau bleu,pulpo de anillos azules,chobotnice s modrým kroužkem,Blauring-Oktopus,ośmiornica z niebieskim pierścieniem
blue shark,requin bleu,tiburón azul,modrý žralok,Blauhai,żarłacz błękitny
blue whale,baleine bleue,ballena azul,modrá velryba,Blauwal,płetwal błękitny
blue-tongued skink,scinque à langue bleue,eslizón de lengua azul,skink modroústý,Blauzungenskink,jaszczurka niebieskołuska
bluebird,oiseau bleu,pájaro azul,modrý pták,bluebird,niebieski ptak
bluefin tuna,thon rouge,atún rojo,tuňák obecný,Blauflossenthunfisch,tuńczyk błękitnopłetwy
boa constrictor,boa constrictor,boa constrictora,hroznýš královský,Boa constrictor,boa dusiciel
bobcat,lynx,bobcat,bobcat,Luchs,bobcat
bongo,bongo,bongo,bongo,Bongo,bongo
bonobo,bonobo,bonobo,bonobo,Bonobo,bonobo
bony fish,poisson osseux,pez óseo,kostnaté ryby,Knochenfische,ryba oścista
border collie,border collie,border collie,border kolie,Border Collie,border collie
Boston terrier,Boston terrier,Boston terrier,Bostonský teriér,Boston Terrier,Boston terrier
bowhead whale,baleine boréale,ballena de Groenlandia,velryba grónská,Grönlandwal,dzioborożec
