EN,FR,ES,CS,DE,PL
African gray parrot,Perroquet gris africain,Loro gris africano,Papoušek šedý africký,Afrikanischer Graupapagei,Afrykańska papuga szara
African penguin,Manchot africain,Pingüino africano,Tučňák africký,Afrikanischer Pinguin,Pingwin afrykański
albatross,albatros,albatros,albatros,Albatros,albatros
American flamingo,Flamant américain,Flamenco americano,Plameňák americký,Amerikanischer Flamingo,Flaming amerykański
American golden plover,Pluvier doré,Chorlito dorado americano,Zlatohlávek americký,Amerikanischer Goldregenpfeifer,Amerykańska siewka złota
American Robin,Merle d'Amérique,Petirrojo americano,Robin americký,Wanderdrossel,Robin amerykański
American tree sparrow,Bruant des arbres,Gorrión molinero americano,Americký vrabec stromový,Feldsperling,Wróbel amerykański
Archaeopteryx,Archéoptéryx,Archaeopteryx,Archeopteryx,Archaeopteryx,Archaeopteryx
Arctic tern,Sterne arctique,Charrán ártico,Rybák polární,Küstenseeschwalbe,Rybitwa popielata
auk,auk,alca,auk,auk,auk
Aves,Aves,Aves,Aves,Aves,Ptaki
avian,aviaire,aviar,ptačí,Vögel,ptak
aviary,volière,pajarera,voliéra,Voliere,woliera
avifauna,avifaune,avifauna,avifauna,Avifauna,awifauna
avocet,avocette,avocet,avocet,Säbelschnäbler,awoket
bald eagle,pygargue à tête blanche,águila calva,orel bělohlavý,Weißkopfseeadler,bielik
barn owl,chouette effraie,lechuza común,sova pálená,Schleiereule,puchacz
beak,bec,pico,zobák,Schnabel,dziób
bill,facture,bill,bill,Rechnung,rachunek
bird,oiseau,pájaro,pták,Vogel,ptak
bird of paradise,oiseau de paradis,ave del paraíso,rajský pták,Paradiesvogel,rajski ptak
bird watching,observation des oiseaux,observación de aves,pozorování ptáků,Vogelbeobachtung,obserwacja ptaków
birdcage,cage à oiseaux,jaula de pájaros,ptačí klec,Vogelkäfig,klatka dla ptaków
birder,ornithologue,observador de aves,ptáčník,Vogelbeobachter,ptasznik
birdhouse,nichoir,pajarera,ptačí budka,Vogelhaus,ptaszarnia
birding,ornithologie,observación de aves,pozorování ptáků,Vogelbeobachtung,ptactwo
bittern,butor,avetoro,bittern,Rohrdommel,bąk
black swan,cygne noir,cisne negro,černá labuť,schwarzer Schwan,czarny łabędź
blackbird,merle,mirlo,blackbird,Amsel,kos
blue jay,geai bleu,arrendajo azul,modrá sojka,Blauhäher,sójka błękitna
bluebird,oiseau bleu,pájaro azul,modrý pták,bluebird,niebieski ptak
bobolink,bobolink,bobolink,bobolink,Bobolink,bobolink
bobwhite,le colin de Virginie,bobwhite,bobwhite,Bobwhite,bobwit
bowerbird,merle de barbarie,bowerbird,bowerbird,Laubenvogel,bowerbird
brood,couvée,cría,brood,Brut,czerw
brown pelican,pélican brun,pelícano pardo,pelikán hnědý,Braunpelikan,pelikan brunatny
budgerigar,perruche,periquito,Budgerigar,Wellensittich,budgerigar
budgie,perruche,periquito,andulky,Wellensittich,pączek
bullfinch,bouvreuil,camachuelo,Býčí skákavka,Gimpel,gil
bunting,chignon,escribano,bunting,Ammer,bunting
Canada goose,Bernache du Canada,Ganso canadiense,Kanadská husa,Kanadagans,Gęś kanadyjska
canary,canari,canario,kanárek,Kanarienvogel,kanarek
cardinal,cardinal,cardinal,kardinál,Kardinal,kardynał
cassowary,casoar,casuario,kasuár,Kasuar,kazuar
catbird,oiseau-chat,mirlo acuático,catbird,Katzendrossel,ptak
chick,poussin,pollito,kuřata,Küken,pisklę
chickadee,mésange,chickadee,kuřátka,Meise,cietrzew
chicken,poulet,pollo,kuře,Huhn,kurczak
clutch,embrayage,embrague,spojka,Kupplung,sprzęgło
cockatiel,coq de bruyère,cacatúa,kokrháč,Nymphensittich,kakadu
cockatoo,cacatoès,cacatúa,kakadu,Kakadu,kakadu
common rhea,Rhéa commun,ñandú común,rehea obecná,Nilheu,reja zwyczajna
congregation,congrégation,congregación,sbor,Gemeinde,zgromadzenie
