EN,FR,ES,CS,DE,PL
abdomen,abdomen,abdomen,břicho,Unterleib,brzuch
Adam's apple,La pomme d'Adam,Manzana de Adán,Adamovo jablko,Adamsapfel,Jabłko Adama
adenoids,adénoïdes,adenoides,adenoidy,Adenoide,migdałki
adrenal gland,glande surrénale,glándula suprarrenal,nadledviny,Nebennierendrüse,nadnercze
anatomy,anatomie,anatomía,anatomie,Anatomie,anatomia
ankle,cheville,tobillo,kotník,Knöchel,kostka
anus,anus,ano,řitní otvor,Anus,odbyt
appendix,annexe,apéndice,příloha,anhang,dodatek
arch,arche,arco,arch,bogen,łuk
arm,bras,brazo,rameno,Arm,ramię
artery,artère,arteria,tepna,Arterie,tętnica
back,retour,volver,zpět,zurück,z powrotem
ball of the foot,la pointe du pied,bola del pie,ploska nohy,Fußballen,piłka stopy
belly,ventre,vientre,břicho,Bauch,brzuch
belly button,nombril,ombligo,pupek,Bauchnabel,pępek
big toe,gros orteil,dedo gordo,palec u nohy,große Zehe,duży palec u nogi
bladder,vessie,vejiga,močový měchýř,Blase,pęcherz
blood,sang,sangre,krev,Blut,krew
blood vessels,les vaisseaux sanguins,vasos sanguíneos,krevní cévy,Blutgefäße,naczynia krwionośne
body,corps,cuerpo,tělo,Körper,ciało
bone,os,hueso,kost,Knochen,kość
brain,cerveau,cerebro,mozek,Gehirn,mózg
breast,sein,mama,prsa,Brust,pierś
buttocks,fesses,nalgas,hýždě,Gesäß,pośladki
calf,mollet,pantorrilla,lýtko,Kalb,łydka
capillary,capillaire,capilar,kapilární,Kapillare,kapilara
carpal,carpe,carpiano,karpální,Karpal,nadgarstek
cartilage,cartilage,cartílago,chrupavka,Knorpel,chrząstka
cell,cellule,célula,buňka,Zelle,komórka
cervical vertebrae,vertèbres cervicales,vértebras cervicales,krční obratle,Gebärmutterhalswirbel,kręgi szyjne
cheek,joue,mejilla,tvář,Wange,policzek
chest,poitrine,pecho,hrudník,Brust,skrzynia
chin,menton,barbilla,brada,Kinn,podbródek
circulatory system,système circulatoire,sistema circulatorio,oběhový systém,Kreislaufsystem,układ krążenia
clavicle,clavicule,clavícula,klíční kost,Schlüsselbein,obojczyk
coccyx,coccyx,coxis,kostrč,Steißbein,kość ogonowa
collar bone,clavicule,clavícula,klíční kost,Schlüsselbein,obojczyk
diaphragm,diaphragme,diafragma,membrána,Membran,membrana
digestive system,système digestif,aparato digestivo,trávicí soustava,Verdauungssystem,układ trawienny
ear,oreille,oído,ucho,Ohr,ucho
ear lobe,lobe de l'oreille,lóbulo de la oreja,ušní lalůček,Ohrläppchen,płatek ucha
elbow,coude,codo,loket,Ellenbogen,łokieć
endocrine system,système endocrinien,sistema endocrino,endokrinní systém,endokrines System,układ hormonalny
esophagus,œsophage,esófago,jícen,Speiseröhre,przełyk
eye,œil,ojo,oko,Auge,oko
eyebrow,sourcil,ceja,obočí,Augenbraue,brew
eyelashes,cils,pestañas,řasy,Wimpern,rzęsy
eyelid,paupière,párpado,oční víčka,Augenlid,powieka
face,visage,cara,obličej,Gesicht,twarz
fallopian tubes,trompes de Fallope,trompas de falopio,vejcovody,Eileiter,jajowody
feet,pieds,pies,nohy,Füße,stopy
femur,fémur,fémur,stehenní kost,Oberschenkel,kość udowa
fibula,péroné,peroné,fibula,Fibula,kość strzałkowa
filling,remplissage,llenado,plnění,Befüllung,wypełnienie
finger,doigt,dedo,prst,Finger,palec
fingernail,ongle,uña,nehty,Fingernagel,paznokieć
follicle,follicule,folículo,folikul,Follikel,pęcherzyk
foot,pied,pie,noha,Fuß,stopa
forehead,front,frente,čelo,Stirn,czoło
gallbladder,vésicule biliaire,vesícula biliar,žlučník,Gallenblase,pęcherzyk żółciowy
glands,glandes,glándulas,žlázy,Drüsen,gruczoły
groin,aine,ingle,třísla,Leiste,pachwina
gums,gommes,encías,dásně,Zahnfleisch,dziąsła
hair,cheveux,pelo,vlasy,Haare,włosy
hand,main,mano,ručně,Hand,ręka
head,tête,cabeza,hlava,Kopf,głowa
heart,cœur,corazón,srdce,Herz,serce
heel,talon,talón,pata,Ferse,pięta
hip,hanche,cadera,kyčelní kloub,hip,biodro
humerus,humérus,húmero,humerus,Humerus,kość ramienna
immune system,système immunitaire,sistema inmunitario,imunitní systém,Immunsystem,układ odpornościowy
index finger,l'index,dedo índice,ukazováček,Zeigefinger,palec wskazujący
instep,cou-de-pied,empeine,nárt,Rist,podbicie
intestines,intestins,intestinos,střeva,Därme,jelita
iris,iris,iris,iris,iris,tęczówka
jaw,mâchoire,mandíbula,čelist,Kiefer,szczęka
kidney,rein,riñón,ledviny,Niere,nerka
knee,genou,rodilla,koleno,Knie,kolano
larynx,larynx,laringe,hrtan,Kehlkopf,krtań
leg,jambe,pierna,noha,Bein,noga
ligament,ligament,ligamento,vaz,Bänder,więzadło
lip,lèvre,labio,rty,Lippe,warga
liver,foie,hígado,játra,Leber,wątroba
lobe,lobe,lóbulo,lalok,Lappen,płat
lumbar vertebrae,vertèbres lombaires,vértebras lumbares,bederní obratle,Lendenwirbel,kręgi lędźwiowe
lungs,poumons,pulmones,plíce,Lunge,płuca
lymph node,ganglion lymphatique,ganglio linfático,lymfatické uzliny,Lymphknoten,węzeł chłonny
mandible,mandibule,mandíbula,dolní čelist,Unterkiefer,żuchwa
metacarpal,métacarpien,metacarpiano,metakarpální kosti,Mittelhandknochen,śródręcze
