EN,FR,ES,CS,DE,PL
A-frame,Cadre A,Marco en A,Rám A,A-Rahmen,Ramka A
abbey,abbaye,abadía,opatství,Abtei,opactwo
aircraft hangar,hangar à avions,hangar de aviones,hangár pro letadla,Flugzeughangar,hangar lotniczy
airport terminal,terminal de l'aéroport,terminal del aeropuerto,letištní terminál,Flughafen-Terminal,terminal lotniska
amphitheater,amphithéâtre,anfiteatro,amfiteátr,Amphitheater,amfiteatr
apartment building,immeuble d'habitation,edificio de apartamentos,bytový dům,Mehrfamilienhaus,apartamentowiec
aqueduct,aqueduc,acueducto,akvadukt,Aquädukt,akwedukt
arch,arche,arco,arch,bogen,łuk
arena,arène,arena,aréna,arena,arena
armory,armurerie,armería,zbrojnice,Waffenkammer,zbrojownia
assembly hall,salle d'assemblée,salón de actos,aula,Aula,aula
barn,étable,granero,stodola,Scheune,stodoła
barracks,casernes,cuartel,kasárna,Kaserne,koszary
beach house,maison de plage,casa de la playa,dům na pláži,Strandhaus,dom na plaży
boarding house,pension de famille,pensión,penzion,Internat,pensjonat
boathouse,hangar à bateaux,cobertizo para botes,loděnice,Bootshaus,przystań
bowling alley,bowling,bolera,bowlingová dráha,Bowlingbahn,kręgielnia
bridge,pont,puente,most,Brücke,most
brownstone,pierre de taille,brownstone,brownstone,brownstone,brownstone
building,bâtiment,edificio,budova,Gebäude,budynek
bungalow,bungalow,bungalow,bungalov,Bungalow,bungalow
bunker,bunker,búnker,bunkr,Bunker,bunkier
bunkhouse,dortoir,litera,palanda,Kojenhaus,domek piętrowy
cabana,cabane,cabaña,kabina,Kabine,cabana
cabin,cabine,cabina,kabina,Kabine,kabina
capitol,capitale,capitolio,Capitol,Hauptstadtzentrum,stolica
carport,abri de voiture,cochera,přístřešek pro auto,Carport,wiata
castle,château,castillo,hrad,Schloss,zamek
catacomb,catacombe,catacumba,katakomby,Katakombe,katakumba
cathedral,cathédrale,catedral,katedrála,Kathedrale,katedra
chalet,chalet,chalet,chata,chalet,schronisko
chapel,chapelle,capilla,kaple,Kapelle,kaplica
chateau,château,castillo,zámek,chateau,zamek
church,église,iglesia,kostel,Kirche,kościół
cinema,cinéma,cine,kino,Kino,kino
city hall,hôtel de ville,ayuntamiento,radnice,rathaus,ratusz
clubhouse,clubhouse,casa club,klubovna,Clubhaus,klub
college,collège,universidad,vysoká škola,Hochschule,uczelnia
compound,composé,compuesto,sloučenina,Verbindung,związek
concert hall,salle de concert,sala de conciertos,koncertní sál,Konzertsaal,sala koncertowa
condominium,copropriété,condominio,kondominium,Wohnungseigentum,kondominium
conservatory,jardin d'hiver,invernadero,zimní zahrada,Gewächshaus,ogród zimowy
cottage,chalet,casa rural,chata,Hütte,domek
courthouse,palais de justice,juzgado,soudní budova,Gerichtsgebäude,sąd
crypt,crypte,cripta,krypta,Krypta,krypta
depot,dépôt,depósito,depo,depot,zajezdnia
detached house,maison individuelle,vivienda unifamiliar,rodinný dům,freistehendes Haus,dom wolnostojący
dock,quai,muelle,dok,Hafenbecken,dok
dome,dôme,cúpula,kopule,Kuppel,kopuła
dormitory,dortoir,dormitorio,ubytovna,Wohnheim,dormitorium
double wide,double largeur,doble ancho,dvojitý široký,doppelt breit,podwójny szeroki
duplex,duplex,dúplex,duplex,Duplex,dupleks
dwelling,logement,vivienda,obydlí,Wohnung,mieszkanie
earth-sheltered house,maison à l'abri de la terre,casa de tierra,dům chráněný zeminou,erdüberdachtes Haus,dom kryty ziemią
embassy,ambassade,embajada,velvyslanectví,botschaft,ambasada
exposition hall,salle d'exposition,sala de exposiciones,expoziční hala,Ausstellungshalle,hala wystawowa
factory,usine,fábrica,továrna,Werk,fabryka
farm,ferme,granja,farma,Bauernhof,farma
farmhouse,ferme,granja,statek,Bauernhaus,gospodarstwo
ferry slip,cale de ferry,rampa de transbordador,skluz trajektu,Fähranleger,pochylnia promowa
ferry terminal,terminal de ferry,terminal de transbordadores,terminál trajektů,Fährterminal,terminal promowy
fire station,caserne de pompiers,parque de bomberos,požární stanice,Feuerwache,remiza strażacka
firehouse,caserne de pompiers,parque de bomberos,hasičská zbrojnice,Feuerwache,remiza
folly,folie,locura,bláznovství,Narrheit,szaleństwo
forge,forge,forja,kovárna,schmieden,kuźnia
fort,fort,fuerte,pevnost,Fort,fort
fortress,forteresse,fortaleza,pevnost,Festung,twierdza
foundry,fonderie,fundición,slévárna,Gießerei,odlewnia
gallery,galerie,galería,galerie,Galerie,galeria
garage,garage,garaje,garáž,Garage,garaż
gas station,station-service,gasolinera,čerpací stanice,Tankstelle,stacja benzynowa
gazebo,belvédère,cenador,altán,Pavillon,altana
geodesic dome,dôme géodésique,cúpula geodésica,geodetická kopule,geodätische Kuppel,kopuła geodezyjna
granary,grenier,granero,sýpka,Kornspeicher,spichlerz
greenhouse,serre,invernadero,skleník,Gewächshaus,szklarnia
gym,gymnase,gimnasio,tělocvična,Fitnessstudio,siłownia
gymnasium,gymnase,gimnasio,tělocvična,Sporthalle,sala gimnastyczna
hall,salle,hall,hala,Halle,hala
hangar,hangar,hangar,hangár,Hangar,hangar
haunted house,maison hantée,casa encantada,strašidelný dům,Spukhaus,nawiedzony dom
headquarters,le siège,sede,ústředí,Hauptsitz,centrala
high-rise,gratte-ciel,de gran altura,výškové budovy,Hochhaus,wieżowiec
home,domicile,Inicio,home,Startseite,dom
hospital,hôpital,hospital,nemocnice,Krankenhaus,szpital
hostel,auberge,albergue,hostel,Herberge,hostel
hot house,maison chaude,casa caliente,horký dům,heißes Haus,gorący dom
hotel,hôtel,hotel,hotel,Hotel,hotel
house,maison,casa,dům,Haus,dom
houseboat,péniche,casa flotante,hausbót,Hausboot,barka
housing project,projet de logement,proyecto de vivienda,projekt bydlení,Wohnprojekt,projekt mieszkaniowy
hunting lodge,pavillon de chasse,pabellón de caza,lovecká chata,Jagdhaus,domek myśliwski
hut,hutte,cabaña,chata,Hütte,chata
igloo,igloo,iglú,iglú,Iglu,igloo
jail,prison,cárcel,vězení,Gefängnis,więzienie
kiosk,kiosque,quiosco,kiosek,Kiosk,kiosk
laboratory,laboratoire,laboratorio,laboratoř,Labor,laboratorium
lean-to,appentis,cobertizo,lean-to,Anlehnungsbau,lean-to
library,bibliothèque,biblioteca,knihovna,Bibliothek,biblioteka
lighthouse,phare,faro,maják,Leuchtturm,latarnia morska
lodge,loge,albergue,lodge,Loge,loża
log cabin,cabane en rondins,cabaña de madera,srubová chata,Blockhaus,domek z bali
longhouse,maison longue,casa larga,longhouse,Langhaus,długi dom
mall,centre commercial,centro comercial,nákupní centrum,Einkaufszentrum,centrum handlowe
manor,manoir,mansión,panství,Gutshaus,dwór
manse,manse,mansión,manéž,Herrenhaus,dwór
mansion,manoir,mansión,zámeček,Herrenhaus,rezydencja
marina,marina,puerto deportivo,marina,Jachthafen,przystań
market,marché,mercado,trh,Markt,rynek
mausoleum,mausolée,mausoleo,mauzoleum,Mausoleum,mauzoleum
meeting hall,salle de réunion,sala de reuniones,zasedací sál,Versammlungssaal,sala konferencyjna
mill,moulin,molino,mlýn,Mühle,młyn
minaret,minaret,minarete,minaret,Minarett,minaret
mobile home,maison mobile,casa móvil,mobilní dům,Mobilheim,dom mobilny
monastery,monastère,monasterio,klášter,Kloster,klasztor
monument,monument,monumento,památka,Denkmal,zabytek
mosque,mosquée,mezquita,mešita,Moschee,meczet
motel,motel,motel,motel,Motel,motel
museum,musée,museo,muzeum,Museum,muzeum
nuclear power plant,centrale nucléaire,central nuclear,jaderná elektrárna,Kernkraftwerk,elektrownia jądrowa
nursing home,maison de retraite,residencia de ancianos,domov pro seniory,Pflegeheim,dom opieki
observatory,observatoire,observatorio,observatoř,Sternwarte,obserwatorium
office building,immeuble de bureaux,edificio de oficinas,kancelářská budova,Bürogebäude,budynek biurowy
opera house,opéra,ÓPERA,opera,Opernhaus,opera
outbuilding,dépendance,dependencia,přístavba,Nebengebäude,budynek gospodarczy
outhouse,dépendance,retrete,přístavek,Nebengebäude,wychodek
pagoda,pagode,pagoda,pagoda,Pagode,pagoda
palace,palais,palacio,palác,Palast,pałac
parking garage,garage de stationnement,aparcamiento,parkovací garáž,Parkhaus,garaż
parliament,Parlement,parlamento,parlament,Parlament,parlament
pavilion,pavillon,pabellón,pavilon,Pavillon,pawilon
plant,plante,planta,rostlina,Anlage,roślina
playhouse,maison de jeu,casa de juegos,playhouse,Spielhaus,bawialnia
police station,poste de police,comisaría de policía,policejní stanice,Polizeistation,posterunek policji
pool house,abri de piscine,casa de la piscina,dům u bazénu,Poolhaus,domek przy basenie
