EN,FR,ES,CS,DE,PL
accelerator,accélérateur,acelerador,akcelerátor,Beschleuniger,akcelerator
air conditioner,climatiseur,aire acondicionado,klimatizace,Klimagerät,klimatyzator
air conditioning,climatisation,aire acondicionado,klimatizace,Klimatisierung,klimatyzacja
air filter,filtre à air,filtro de aire,vzduchový filtr,Luftfilter,filtr powietrza
air vent,évent d'air,salida de aire,větrací otvor,Entlüftung,odpowietrznik
airbag,airbag,airbag,airbag,Airbag,poduszka powietrzna
alarm,alarme,alarma,alarm,Alarm,alarm
all-wheel drive,transmission intégrale,tracción a las cuatro ruedas,pohon všech kol,Allradantrieb,napęd na wszystkie koła
alternator,alternateur,alternador,alternátor,Lichtmaschine,alternator
antenna,antenne,antena,anténa,Antenne,antena
anti-lock brakes,freins antiblocage,frenos antibloqueo,protiblokovací brzdy,Antiblockiersystem,hamulce przeciwblokujące
armrest,accoudoir,apoyabrazos,loketní opěrka,Armlehne,podłokietnik
auto,automobile,auto,auto,Auto,auto
automatic transmission,transmission automatique,transmisión automática,automatická převodovka,Automatikgetriebe,automatyczna skrzynia biegów
automobile,automobile,automóvil,automobil,Automobil,samochód
axle,axe,eje,náprava,Achse,oś
baby car seat,siège auto pour bébé,silla de coche para bebé,dětská autosedačka,Autokindersitz,fotelik samochodowy dla dziecka
baby seat,siège bébé,silla de bebé,dětská sedačka,Babyschale,fotelik dziecięcy
back-up lights,feux de recul,luces de marcha atrás,záložní světla,Rückfahrscheinwerfer,światła cofania
battery,batterie,batería,baterie,Batterie,bateria
bench seat,banquette,asiento corrido,sedadlo lavice,Sitzbank,ławka
bonnet,bonnet,capó,kapota,Motorhaube,maska
brake light,feu de freinage,luz de freno,brzdové světlo,Bremslicht,światło hamowania
brake pedal,pédale de frein,pedal de freno,brzdový pedál,Bremspedal,pedał hamulca
brakes,freins,frenos,brzdy,Bremsen,hamulce
bucket seat,siège baquet,asiento de cubo,kbelíkové sedadlo,Schalensitz,fotel kubełkowy
bumper,pare-chocs,parachoques,nárazník,Stoßstange,zderzak
camshaft,arbre à cames,árbol de levas,vačkový hřídel,Nockenwelle,wałek rozrządu
car,voiture,coche,auto,Auto,samochód
carburetor,carburateur,carburador,karburátor,Vergaser,gaźnik
catalytic converter,convertisseur catalytique,catalizador,katalyzátor,Abgaskatalysator,katalizator
chassis,châssis,chasis,podvozek,Fahrgestell,podwozie
child car seat,siège auto pour enfant,silla de coche para niños,dětská autosedačka,Autokindersitz,fotelik samochodowy dla dziecka
chrome trim,garniture chromée,molduras cromadas,chromované lišty,Chromblende,chromowane wykończenie
clutch,embrayage,embrague,spojka,Kupplung,sprzęgło
computer,ordinateur,ordenador,počítač,Computer,komputer
console,console,consola,konzole,Konsole,konsola
cooling system,système de refroidissement,sistema de refrigeración,chladicí systém,Kühlsystem,układ chłodzenia
crankshaft,vilebrequin,cigüeñal,klikový hřídel,Kurbelwelle,wał korbowy
cruise control,régulateur de vitesse,control de crucero,tempomat,Geschwindigkeitsregler,tempomat
cylinder,cylindre,cilindro,válec,Zylinder,cylinder
dashboard,tableau de bord,salpicadero,přístrojová deska,Dashboard,deska rozdzielcza
defroster,dégivreur,desempañador,rozmrazování,Entfroster,odmrażacz
diesel engine,moteur diesel,motor diésel,vznětový motor,Dieselmotor,silnik wysokoprężny
differential,différentiel,diferencial,diferenciální,Differential,różnica
dip stick,jauge d'immersion,varilla de inmersión,měřící tyčinka,Peilstab,bagnet
door,porte,puerta,dveře,Tür,drzwi
door handle,poignée de porte,manilla de la puerta,klika dveří,Türgriff,klamka
drive belt,courroie de transmission,correa de transmisión,hnací řemen,Antriebsriemen,pasek napędowy
drive shaft,arbre d'entraînement,eje de transmisión,hnací hřídel,Antriebswelle,wał napędowy
driver's seat,siège du conducteur,asiento del conductor,sedadlo řidiče,Fahrersitz,fotel kierowcy
emergency brake,frein d'urgence,freno de emergencia,nouzová brzda,Notbremse,hamulec bezpieczeństwa
emergency lights,éclairage d'urgence,luces de emergencia,nouzová světla,Notbeleuchtung,światła awaryjne
emissions,émissions,emisiones,.,Emissionen,emisje
engine,moteur,motor,motor,Motor,silnik
engine block,bloc moteur,bloque motor,blok motoru,Motorblock,blok silnika
exhaust pipe,tuyau d'échappement,tubo de escape,výfukové potrubí,Auspuffrohr,rura wydechowa
exhaust system,système d'échappement,sistema de escape,výfukový systém,Auspuffanlage,układ wydechowy
fan belt,courroie de ventilateur,correa del ventilador,řemen ventilátoru,Keilriemen,pasek wentylatora
fender,garde-boue,guardabarros,blatník,Fender,błotnik
filter,filtre,filtro,filtr,Filter,filtr
floor mat,tapis de sol,alfombrilla,podlahová rohož,Fußmatte,mata podłogowa
fog light,feu de brouillard,luz antiniebla,mlhové světlo,Nebelscheinwerfer,światło przeciwmgielne
four-wheel drive,quatre roues motrices,tracción a las cuatro ruedas,pohon všech kol,Allradantrieb,napęd na cztery koła
frame,cadre,marco,rám,Rahmen,ramka
fuel,carburant,combustible,palivo,Kraftstoff,paliwo
fuel cap,bouchon de carburant,tapón de combustible,víčko palivové nádrže,Tankdeckel,korek wlewu paliwa
fuel gauge,jauge de carburant,indicador de combustible,palivoměr,Kraftstoffanzeige,wskaźnik paliwa
fuse,fusible,fusible,pojistka,Sicherung,bezpiecznik
gas,gaz,gas,plyn,Gas,gaz
gas gauge,jauge de gaz,indicador de gasolina,plynoměr,Benzinuhr,wskaźnik gazu
gas pedal,pédale d'accélérateur,acelerador,plynový pedál,Gaspedal,pedał gazu
gas tank,réservoir de gaz,depósito de gasolina,plynová nádrž,Gastank,zbiornik gazu
gasket,joint,junta,těsnění,Dichtung,uszczelka
gasoline,l'essence,gasolina,benzín,Benzin,benzyna
gauge,jauge,calibre,měřidlo,Messgerät,wskaźnik
