EN,FR,ES,CS,DE,PL
amber,ambre,ámbar,amber,Amber,bursztyn
amethyst,améthyste,amatista,ametyst,Amethyst,ametyst
apricot,abricot,albaricoque,meruňka,Aprikose,morela
aqua,aqua,aqua,aqua,aqua,aqua
aquamarine,aigue-marine,aguamarina,akvamarín,Aquamarin,akwamaryna
auburn,auburn,auburn,auburn,auburn,kasztan
azure,azur,azure,azure,azurblau,lazur
beige,beige,beige,béžová,beige,beż
black,noir,negro,černá,schwarz,czarny
blue,bleu,azul,modrá,blau,niebieski
bronze,bronze,bronce,bronz,Bronze,brąz
brown,marron,marrón,hnědá,braun,brązowy
buff,buff,buff,buff,schwabbelig,buff
burnt umber,terre d'ombre brûlée,ámbar quemado,pálená umbra,gebrannter Umbra,umbra palona
cardinal,cardinal,cardinal,kardinál,Kardinal,kardynał
carmine,carmin,carmín,karmín,karminrot,karmin
celadon,céladon,celadón,celadon,celadon,seledyn
cerise,cerise,cerise,cerise,cerise,cerise
cerulean,céruléen,cerúleo,cerulean,azurblau,cerulean
charcoal,charbon de bois,carbón,dřevěné uhlí,Holzkohle,węgiel drzewny
chartreuse,chartreuse,chartreuse,chartreuse,Chartreuse,chartreuse
chocolate,chocolat,chocolate,čokoláda,Schokolade,czekolada
cinnamon,cannelle,canela,skořice,Zimt,cynamon
color,couleur,color,barva,Farbe,kolor
complementary,complémentaire,complementario,doplňkové,komplementär,uzupełniający
copper,cuivre,cobre,měď,Kupfer,miedź
coral,corail,coral,korál,Koralle,koral
cream,crème,crema,krém,Creme,krem
crimson,cramoisi,carmesí,crimson,Karminrot,karmazyn
cyan,cyan,cian,azurová,cyanfarben,cyjan
dark,sombre,oscuro,tmavé,dunkel,ciemność
denim,denim,vaqueros,džínovina,Denim,denim
desert sand,sable du désert,arena del desierto,pouštní písek,Wüstensand,piasek pustyni
ebony,ébène,ébano,ebenové dřevo,Ebenholz,heban
ecru,écru,crudo,ecru,ecru,ecru
eggplant,aubergine,berenjena,lilek,Aubergine,bakłażan
emerald,émeraude,esmeralda,smaragd,Smaragd,szmaragd
forest green,vert forêt,verde bosque,lesní zelená,waldgrün,leśna zieleń
fuchsia,fuchsia,fucsia,fuchsie,fuchsia,fuksja
gold,l'or,oro,zlato,Gold,złoto
goldenrod,verge d'or,vara de oro,goldenrod,Goldrute,nawłoć
gray,gris,gris,šedá,grau,szary
green,vert,verde,zelená,grün,zielony
grey,gris,gris,šedá,grau,szary
hot pink,rose vif,rosa fuerte,horká růžová,heißes Pink,gorący róż
hue,teinte,matiz,odstín,Farbton,odcień
indigo,indigo,añil,indigo,Indigo,indygo
ivory,ivoire,marfil,slonová kost,Elfenbein,kość słoniowa
jade,jade,jade,jade,Jade,jadeit
jet,jet,jet,jet,jet,strumień
jungle green,vert jungle,verde selva,zelená džungle,Dschungelgrün,zieleń dżungli
kelly green,kelly green,kelly green,kelly green,kellygrün,kelly green
khaki,kaki,caqui,khaki,khaki,khaki
lavender,lavande,lavanda,levandule,lavendel,lawenda
lemon,citron,limón,citron,Zitrone,cytryna
light,lumière,luz,světlo,Licht,światło
lilac,lilas,lila,lila,fliederfarben,liliowy
lime,chaux,cal,limetka,Kalk,wapno
magenta,magenta,magenta,magenta,magenta,magenta
mahogany,acajou,caoba,mahagon,mahagoni,mahoń
maroon,bordeaux,granate,kaštanové,kastanienbraun,bordowy
mauve,mauve,malva,fialová,mauve,fioletowy
mustard,moutarde,mostaza,hořčice,Senf,musztarda
navy blue,bleu marine,azul marino,tmavě modrá,Marineblau,granatowy
ocher,ocre,ocre,okr,Ocker,ochra
olive,olive,oliva,olivový,Olive,oliwka
orange,orange,naranja,oranžová,orange,pomarańczowy
orchid,orchidée,orquídea,orchidej,Orchidee,orchidea
pale,pâle,pálido,bledý,blass,blady
pastel,pastel,pastel,pastel,pastellfarben,pastel
peach,pêche,melocotón,broskev,Pfirsich,brzoskwinia
periwinkle,pervenche,bígaro,periwinkle,Immergrüner,barwinek
persimmon,kaki,caqui,persimmon,Dattelpflaume,persymona
pewter,étain,peltre,cínové,Zinn,cyna
pink,rose,rosa,růžová,rosa,różowy
primary,primaire,principal,primární,primär,podstawowy
puce,puce,puce,puce,violett,śliwka
pumpkin,citrouille,calabaza,dýně,Kürbis,dynia
purple,pourpre,morado,fialová,lila,fioletowy
rainbow,arc-en-ciel,arco iris,rainbow,Regenbogen,tęcza
red,rouge,rojo,červená,rot,czerwony
rose,rose,rosa,rose,Rose,róża
ruby,rubis,rubí,rubín,Rubinrot,rubin
russet,roux,rojizo,russet,Rotbraun,oranż
rust,rouille,óxido,rez,Rost,rdza
saffron,safran,azafrán,šafrán,Safran,szafran
salmon,saumon,salmón,losos,Lachs,łosoś
sapphire,saphir,zafiro,safír,Saphir,szafir
scarlet,écarlate,escarlata,šarlatová,Scharlachrot,szkarłat
sea green,vert de mer,verde mar,mořská zeleň,meergrün,morska zieleń
secondary,secondaire,secundario,sekundární,sekundär,drugorzędny
sepia,sépia,sepia,sépie,sepia,sepia
shade,ombre,sombra,stín,Farbton,odcień
shamrock,trèfle,trébol,shamrock,Kleeblatt,koniczyna
sienna,sienne,sienna,sienna,Siena,sienna
silver,argent,plata,stříbro,Silber,srebro
slate,ardoise,pizarra,břidlice,Schiefer,łupek
spectrum,spectre,espectro,spektrum,Spektrum,widmo
steel blue,bleu acier,azul acero,ocelově modrá,Stahlblau,stalowy niebieski
tan,bronzage,tan,tan,bräunen,opalenizna
tangerine,mandarine,mandarina,mandarinka,Mandarine,mandarynka
taupe,taupe,topo,taupe,taupe,ciemnoszary
teal,sarcelle,cerceta,teal,teal,turkus
terracotta,terre cuite,terracota,terakota,Terrakotta,terakota
thistle,chardon,cardo,bodlák,Distel,oset
tint,teinte,tinte,tónování,Tönung,odcień
