EN,FR,ES,CS,DE,PL
admiral butterfly,papillon amiral,mariposa almirante,admirál motýl,Admiralfalter,motyl admirał
ambush bug,bug d'embuscade,error de emboscada,chyba ze zálohy,Wanze aus dem Hinterhalt,błąd zasadzki
ant,fourmi,hormiga,mravenci,Ameise,mrówka
aphid,puceron,pulgón,mšice,Blattlaus,mszyca
armyworm,chenille légionnaire,gusano militar,háďátko,Heerwurm,armyworm
assassin bug,insecte assassin,bicho asesino,assassin bug,Raubwanze,błąd zabójcy
atlas moth,papillon de nuit de l'atlas,polilla del atlas,můra atlasová,Atlasspinner,ćma atlasowa
backswimmer,contremaître,nadador de espalda,backswimmer,Rückenschwimmer,backswimmer
bedbug,punaise,chinches,štěnice,Bettwanze,pluskwa
bee,abeille,abeja,včela,Biene,pszczoła
beetle,scarabée,escarabajo,brouk,Käfer,chrząszcz
blue morpho butterfly,papillon morpho bleu,mariposa morfo azul,motýl modrásek morfový,Blauer Morpho-Schmetterling,niebieski motyl morpho
bluet,bleuet,bluet,bluet,bluet,bluet
borer,foreur,barrenador,vrták,Bohrer,świder
brown butterfly,papillon brun,mariposa marrón,hnědý motýl,brauner Schmetterling,brązowy motyl
buckeye butterfly,papillon du sarrasin,mariposa buckeye,motýl buckeye,Schmetterlingsblütler,motyl buckeye
bug,insecte,error,chyba,Fehler,błąd
bumblebee,bourdon,abejorro,čmelák,Hummeln,trzmiel
butterfly,papillon,mariposa,motýl,Schmetterling,motyl
carpenter ant,fourmi charpentière,hormiga carpintera,mravenec tesařík,Zimmermannsameise,mrówka cieśla
caterpillar,chenille,oruga,housenka,Raupe,gąsienica
chrysalis,chrysalide,crisálida,chrysalis,Puppenhaus,poczwarka
cicada,cigale,cigarra,cikády,Zikade,cykada
cockroach,cafard,cucaracha,šváb,Kakerlake,karaluch
comma butterfly,virgule papillon,coma mariposa,motýl s čárkou,Komma-Falterfisch,przecinek motyl
copper butterfly,papillon en cuivre,mariposa de cobre,měděný motýl,Kupferfalter,miedziany motyl
crane fly,grue volante,mosca grulla,moucha jeřáb,Erdschnake,lot żurawia
cricket,cricket,cricket,kriket,Kricket,krykiet
cutworm,ver gris,gusano cortador,střihač,Cutworm,mątewka
damselfly,demoiselle,caballito del diablo,damani,Kleinlibelle,damselfly
darkling beetle,scarabée noir,escarabajo oscuro,brouk tmář,Schwarzkäfer,mroczny chrząszcz
dragonfly,libellule,libélula,vážka,Libelle,ważka
dung beetle,bousier,escarabajo pelotero,hovnivál,Mistkäfer,żuk gnojowy
earwig,perce-oreille,tijereta,earwig,Ohrwurm,skorupiak
egg,œuf,huevo,vejce,Ei,jajko
fire ant,fourmi de feu,hormiga de fuego,mravenec ohnivý,Feuerameise,mrówka ognista
firefly,luciole,luciérnaga,světluška,Glühwürmchen,firefly
flea,puce,pulga,blechy,Floh,pchła
fly,voler,mosca,fly,Fliege,latać
fritillary butterfly,papillon fritillaire,mariposa fritillaria,motýl žluťásek barvoměnný,Fritillar-Falterfisch,motyl fritillary
fruit fly,mouche des fruits,mosca de la fruta,ovocná muška,Fruchtfliege,muszka owocówka
gnat,moucheron,mosquito,komár,Mücke,gnat
gossamer-winged butterfly,papillon à ailes gaufrées,mariposa de alas de gasa,motýl gossamer-wided,Hauchdünner Schmetterling,motyl o puszystych skrzydłach
grasshopper,sauterelle,saltamontes,luční kobylka,Heuschrecke,konik polny
green darner dragonfly,libellule du dard vert,libélula verde,vážka zelená,Grüne Keiljungfer,ważka darnera zielona
ground beetle,coccinelle,escarabajo de tierra,brouk zemní,Laufkäfer,chrząszcz naziemny
grub,tambouille,grub,grub,grub,żarcie
gypsy moth,spongieuse,polilla gitana,cikánská můra,Schwammspinner,ćma cygańska
hairstreak butterfly,le papillon porte-queue,mariposa peinadora,motýl vláskatec,Haarsträhnchen-Falterfisch,motyl włochacz
harlequin bug,punaise arlequin,bicho arlequín,brouk harlekýn,Raubwanze,robak arlekin
honeybee,abeille,abeja,včela medonosná,Honigbiene,pszczoła miodna
hornet,frelon,avispón,sršeň,Hornisse,szerszeń
horse fly,mouche du coche,mosca del caballo,koňská moucha,Pferdefliege,mucha końska
house fly,mouche domestique,mosca doméstica,moucha domácí,Stubenfliege,mucha domowa
hover fly,vol stationnaire,mosca planeadora,vznášet se,Schwebeflug,lot w zawisie
imago,imago,imago,imago,imago,imago
insect,insecte,insecto,hmyz,Insekt,owad
Japanese beetle,Coléoptère japonais,Escarabajo japonés,Japonský brouk,Japanischer Käfer,Chrząszcz japoński
Julia butterfly,Julia papillon,Julia mariposa,Motýlek Julia,Julia Schmetterling,Julia motyl
jumping bean,haricot sauteur,judía saltarina,skákající fazole,Puffbohne,skacząca fasola
June bug,Bogue du mois de juin,Error de junio,Červnová chyba,Junikäfer,Czerwcowy błąd
katydid,katyde,katydid,katydid,Katydid,katydid
kissing bug,insecte embrasseur,bicho besucón,líbání brouka,Raubwanze,całujący robak
lacewing,chrysanthème,crisopa,lacewing,Florfliege,lacewing
ladybug,coccinelle,mariquita,beruška,Marienkäfer,biedronka
larva,larve,larva,larvy,Larve,larwa
leafcutter ant,fourmi coupeuse de feuilles,hormiga cortadora de hojas,mravenec listonoš,Blattschneiderameise,mrówka liściożerna
leafhopper,cicadelle,chicharrita,listonoš,Heuschrecke,skoczek
lice,poux,piojos,vši,Läuse,wszy
lightning bug,insecte foudroyant,luciérnaga,chyba blesku,Glühwürmchen,Błyskawica
locust,criquet,langosta,kobylka,Heuschrecke,szarańcza
longhorn beetle,longicorne,escarabajo de cuernos largos,brouk dlouhozobka,Bockkäfer,chrząszcz kózkowaty
louse,poux,piojo,veš,Läuse,wesz
luna moth,luna moth,polilla luna,luna moth,Luna-Motte,ćma luna
maggot,asticot,gusano,larvy,Maden,larwa
mantid,mante,mantid,mantid,Gottesanbeterin,modliszka
mantis,mante,mantis,kudlanka nábožná,Gottesanbeterin,modliszka
mayfly,éphémère,mosca de mayo,mayfly,Eintagsfliege,jętka
meadowhawk,faucon des prés,meadowhawk,meadowhawk,Wiesenschaumkraut,jastrząb łąkowy
mealworm,ver de farine,gusano de la harina,mouční červi,Mehlwurm,mącznik
metalmark butterfly,papillon en métal,marca metálica mariposa,metalmark butterfly,Metallmarke Schmetterling,metalmark butterfly
metamorphosis,métamorphose,metamorfosis,metamorfóza,Metamorphose,metamorfoza
midge,moucheron,jején,midge,Mücke,muszka
milkweed bug,punaise de l'asclépiade,chinche algodonero,brouk mléč,Schmetterlingsblütler,pluskwa mleczna
monarch,monarque,monarca,monarcha,Monarch,monarcha
morpho,morpho,morfo,morfo,morpho,morfo
mosquito,moustique,mosquito,komáři,Stechmücke,komar
moth,papillon de nuit,polilla,můry,Motte,ćma
nymph,nymphe,ninfa,nymfa,Nymphe,nimfa
Oregon silverspot butterfly,Papillon de l'Oregon,Mariposa silverspot de Oregón,Motýl oregonský stříbřitý,Oregon-Silberfleck-Schmetterling,Motyl modraszek oregoński
owl butterfly,hibou papillon,búho mariposa,motýl sova,Eule Schmetterling,motyl sowa
painted lady butterfly,le papillon dame peinte,mariposa dama pintada,motýlek babočka malířská,Distelfalter,motyl malowana dama
paper wasp,guêpe en papier,avispa de papel,papírová vosa,Papierwespe,osa papierowa
planthopper,sauterelle,saltamontes,planthopper,Heuschrecke,planthopper
pond skater,patineur d'étang,patinador de estanque,bruslař na rybníku,Schlittschuhläufer,łyżwiarz stawowy
praying mantid,mante religieuse,mantis religiosa,kudlanka nábožná,Gottesanbeterin,modliszka
praying mantis,mante religieuse,mantis religiosa,kudlanka nábožná,Gottesanbeterin,modliszka
pupa,chrysalide,pupa,pupa,Verpuppung,poczwarka
Queen Alexandra's birdwing butterfly,Le papillon de la reine Alexandra,Mariposa ala de pájaro de la Reina Alexandra,Motýl ptačinec královny Alexandry,Alexandra-Königinnen-Schwingenfalter,Motyl skrzydłokwiat królowej Aleksandry
roach,cafard,cucaracha,šváb,Kakerlake,płoć
robber fly,vol à main armée,mosca ladrona,loupežnická moucha,Raubfliege,mucha rabusia
scarab,scarabée,escarabajo,skarabeus,Skarabäus,skarabeusz
silkworm,ver à soie,gusano de seda,bource morušového,Seidenraupen,jedwabnik
silverfish,lépisme,lepisma,stříbrná rybka,Silberfischchen,ryba srebrna
skipper,skipper,patrón,kapitán,Skipper,sternik
snout butterfly,papillon à museau,mariposa hocicuda,motýl s čenichem,Rüssel-Falterfisch,motyl pyskaty
spittlebug,crachoir,salivazo,spittlebug,Spucknapf,spittlebug
springtail,queue de printemps,colémbolo,jarní ocásek,Frühlingsschwanz,ogon wiosenny
stag beetle,coléoptère,ciervo volante,jelenovití brouci,Hirschkäfer,jelonek rogacz
stink bug,punaise puante,chinche apestoso,smradlavý brouk,Stinkwanze,pluskwa śmierdząca
stonefly,moucheron,mosca de piedra,stonefly,Steinfliege,muchomor
sulphur butterfly,papillon de soufre,mariposa de azufre,sirný motýl,Schwefelfalter,motyl siarkowy
swallowtail butterfly,papillon à queue d'hirondelle,mariposa cola de golondrina,motýl vlaštovčí ocásek,Schwalbenschwanz-Schmetterling,motyl jaskółczy ogon
termite,termite,termitas,termitiště,Termiten,termit
thrip,thrip,trips,thrip,Thripse,potok
tiger beetle,cicindèle,escarabajo tigre,tygří brouk,Sandlaufkäfer,chrząszcz tygrysi
tiger moth,mite tigrée,polilla tigre,můra tygrovaná,Tigermotte,ćma tygrysia
tsetse fly,mouche tsé-tsé,mosca tsetsé,moucha tse-tse,Tsetsefliege,mucha tsetse
Ulysses butterfly,Papillon Ulysse,Ulises mariposa,Motýl Odysseus,Ulysses Schmetterling,Motyl Ulisses
viceroy butterfly,papillon du vice-roi,mariposa virrey,motýl viceroy,Vizekönig-Falterfisch,motyl wicekróla
walking stick,bâton de marche,bastón,vycházková hůl,Gehstock,laska
wasp,guêpe,avispa,vosy,Wespe,osa
water boatman,batelier de l'eau,barquero de agua,vodák,Wasserschiffer,wodniak
water bug,punaise d'eau,bicho de agua,vodní brouk,Wasserwanze,pluskwa wodna
water strider,l'eau strider,transeúnte acuático,vodní jezdec,Wasserläufer,wodny strider
weevil,charançon,gorgojo,weevil,Rüsselkäfer,wołek
wood nymph butterfly,papillon nymphe des bois,mariposa ninfa del bosque,motýl lesní nymfa,Holznymphenfalter,motyl nimfa drzewna
wood-borer,perceuse à bois,taladro de madera,dřevoobráběcí stroj,Holzbohrer,drwal
woolly bear caterpillar,chenille de l'ours laineux,oruga del oso lanudo,housenka medvídka vlnatého,Wollknäuel-Raupe,gąsienica niedźwiedzia włochatego
yellow-white butterfly,papillon jaune-blanc,mariposa amarilla-blanca,žlutobílý motýl,gelb-weißer Schmetterling,żółto-biały motyl
yellowjacket,gilet jaune,chaqueta amarilla,yellowjacket,Gelbwesten,żółta kurtka
zebra longwing butterfly,papillon zébré,mariposa ala larga cebra,motýl zebřička dlouhokřídlá,Zebra-Langflügelfalter,motyl długoskrzydły zebra
zebra swallowtail butterfly,papillon zébré,mariposa cola de golondrina cebra,motýl vlaštovičník zebřičkový,Zebra-Schwalbenschwanz-Dickkopffalter,motyl jaskółczy ogon zebry
