EN,FR,ES,CS,DE,PL
alluvial fan,cône alluvial,abanico aluvial,aluviální vějíř,alluvialer Schuttfächer,wachlarz aluwialny
arch,arche,arco,arch,bogen,łuk
archipelago,archipel,archipiélago,souostroví,Archipel,archipelag
arÃªte,arête,arÃªte,arÃªte,arÃªte,aréte
arroyo,arroyo,arroyo,arroyo,Arroyo,arroyo
atoll,atoll,atolón,atol,Atoll,atol
badlands,badlands,badlands,badlands,Badlands,Badlands
bar,bar,bar,bar,bar,bar
barrier island,île-barrière,isla barrera,bariérový ostrov,Barriereinsel,wyspa barierowa
basin,bassin,cuenca,povodí,Einzugsgebiet,basen
bay,baie,bahía,záliv,Bucht,zatoka
bayou,bayou,bayou,bayou,Bucht,bagno
beach,plage,playa,pláž,Strand,plaża
bight,anse,bight,bight,Bucht,światło
bluff,bluff,farol,blaf,bluff,blef
bowl,cuvette,cuenco,mísa,Schale,miska
box canyon,canyon de la boîte,cañón de la caja,krabicový kaňon,Box-Canyon,kanion skrzynkowy
brook,ruisseau,arroyo,potok,Bach,potok
butte,butte,butte,butte,butte,butte
caldera,caldeira,caldera,caldera,caldera,kaldera
canal,canal,canal,kanál,kanal,kanał
canyon,canyon,cañón,kaňon,Canyon,kanion
cape,cape,cabo,mys,cape,peleryna
cataract,cataracte,cataratas,katarakta,Katarakt,zaćma
cave,grotte,cueva,jeskyně,Höhle,jaskinia
cavern,caverne,caverna,jeskyně,Höhle,jaskinia
channel,canal,canal,kanál,Kanal,kanał
chasm,gouffre,abismo,propast,Abgrund,przepaść
chimney,cheminée,chimenea,komín,Schornstein,komin
cinder cone,cône de cendres,cono de ceniza,škvárový kužel,Schlackenkegel,stożek żużlowy
cirque,cirque,circo,cirque,cirque,cyrk
cliff,falaise,acantilado,cliff,Klippe,klif
coast,côte,costa,pobřeží,Küste,wybrzeże
coastline,littoral,costa,pobřeží,Küstenlinie,linia brzegowa
col,col,col,col,Spalte,col
continent,continent,continente,kontinent,Kontinent,kontynent
coral reef,récif corallien,arrecife de coral,korálový útes,Korallenriff,rafa koralowa
cove,anse,cala,zátoka,Bucht,zatoczka
crag,escarpement,peñasco,crag,Felsen,turnia
crater lake,lac de cratère,lago del cráter,kráterové jezero,Kratersee,jezioro kraterowe
creek,ruisseau,arroyo,potok,Bach,potok
crest,crête,cresta,erb,Wappen,herb
crevasse,crevasse,grieta,štěrbina,Gletscherspalte,szczelina
dale,vallon,dale,dale,dale,dale
dell,dell,dell,dell,dell,dell
delta,delta,delta,delta,delta,delta
depression,dépression,depresión,deprese,Depression,depresja
desert,désert,desierto,poušť,Wüste,pustynia
divide,diviser,dividir,rozdělit,dividieren,podział
dome,dôme,cúpula,kopule,Kuppel,kopuła
drift,dérive,deriva,drift,Drift,dryf
dune,dune,duna,duny,Düne,wydma
equator,équateur,ecuador,rovník,Äquator,równik
escarpment,escarpement,escarpa,eskarpment,Steilhang,skarpa
estuary,estuaire,estuario,ústí řeky,Ästuar,ujście
falls,chutes,cataratas,padá,fällt,upadki
fault,faute,fallo,závada,Störung,błąd
firth,firth,firth,firth,firth,jodła
fissure,fissure,fisura,prasklina,Riss,szczelina
fjord,fjord,fiordo,fjord,Fjord,fiord
foothills,contreforts,estribaciones,foothills,Vorgebirge,pogórze
fork,fourchette,horquilla,vidlice,Gabel,widelec
gap,écart,brecha,mezera,Lücke,luka
geology,géologie,geología,geologie,Geologie,geologia
geomorphology,géomorphologie,geomorfología,geomorfologie,Geomorphologie,geomorfologia
geyser,geyser,géiser,gejzír,Geysir,gejzer
glacier,glacier,glaciar,ledovec,Gletscher,lodowiec
glacier cave,grotte du glacier,cueva glaciar,ledovcová jeskyně,Gletscherhöhle,jaskinia lodowcowa
glen,glen,glen,glen,glen,glen
gorge,gorge,desfiladero,soutěska,Schlucht,wąwóz
grotto,grotte,gruta,grotta,Grotte,grota
gulch,ravin,barranco,gulch,Schlucht,wąwóz
gulf,golfe,golfo,záliv,Golf,zatoka
gully,ravin,barranco,strouha,Gully,wpust
headland,promontoire,cabecera,headland,Vorgewende,cypel
headwaters,eaux d'amont,cabecera,headwaters,Oberlauf,wody górskie
highland,hauts plateaux,tierras altas,highland,Hochland,wyżyny
hill,colline,colina,kopec,Hügel,wzgórze
hillside,colline,ladera,na svahu,Hanglage,zbocze
hollow,creux,hueco,duté,hohl,zagłębienie
ice cliff,falaise de glace,acantilado de hielo,ledový útes,Eisklippe,lodowy klif
ice field,champ de glace,campo de hielo,ledové pole,Eisfeld,pole lodowe
iceberg,iceberg,iceberg,ledovec,Eisberg,góra lodowa
inlet,entrée,entrada,vstup,Einlass,wlot
island,île,isla,ostrov,Insel,wyspa
islet,îlot,islote,ostrůvky,Inselchen,wysepka
isthmus,isthme,istmo,isthmus,Landenge,przesmyk
knob,bouton,pomo,knoflík,Drehknopf,pokrętło
knoll,butte,knoll,knoll,knoll,gałka
lagoon,lagune,laguna,laguna,Lagune,laguna
lake,lac,lago,jezero,See,jezioro
lakebed,lit du lac,lecho del lago,dno jezera,Seebett,dno jeziora
landform,relief,landform,tvar terénu,Landform,ukształtowanie terenu
latitude,latitude,latitud,zeměpisná šířka,Breitengrad,szerokość geograficzna
lava dome,dôme de lave,cúpula de lava,lávový dóm,Lavadom,kopuła lawy
lava tube,tube de lave,tubo de lava,lávová roura,Lavaröhre,rura lawowa
ledge,corniche,repisa,římsa,Leiste,półka
loess,lœss,loess,loess,Löss,less
longitude,longitude,longitud,zeměpisná délka,Längengrad,długość geograficzna
lowland,plaine,tierras bajas,nížinný,Tiefland,nizina
mainland,continentale,continente,pevnina,Festland,kontynent
marsh,marais,pantano,bažina,Sumpf,bagno
meander,méandre,meandro,meandr,Mäander,meander
mesa,mesa,mesa,mesa,mesa,mesa
mid-ocean ridge,dorsale médio-océanique,dorsal oceánica media,středooceánský hřbet,mittelozeanischer Rücken,grzbiet śródoceaniczny
moraine,moraine,morrena,moréna,Moräne,morena
mound,monticule,montículo,mohyla,Hügel,kopiec
mountain,montagne,montaña,hora,Berg,góra
mountain pass,col de montagne,puerto de montaña,horský průsmyk,Bergpass,przełęcz
mountain peak,sommet de montagne,cima de la montaña,horský vrchol,Berggipfel,szczyt górski
mouth,bouche,boca,ústa,Mund,usta
mud flat,boue plate,piso de barro,bahnitý byt,Wattenmeer,błoto płaskie
narrows,rétrécit,estrecha,zužuje,verengt,zwężenia
natural arch,arche naturelle,arco natural,přírodní oblouk,natürlicher Bogen,łuk naturalny
neck,cou,cuello,krk,Nacken,szyja
oasis,oasis,oasis,oáza,Oase,oaza
ocean,océan,océano,oceán,Meer,ocean
oceanic trench,fosse océanique,fosa oceánica,oceánský příkop,Tiefseegraben,rów oceaniczny
overhang,surplomb,voladizo,převis,Überhang,zwis
overlook,négliger,pasar por alto,přehlédnout,überblicken,przeoczenie
oxbow lake,lac oxbow,laguna de la cocha,jezero Oxbow,Altwassersee,jezioro oxbow
pass,passer,pase,předat,Pass,przepustka
peak,pic,pico,peak,Spitze,szczyt
peninsula,péninsule,península,poloostrov,Halbinsel,półwysep
plain,simple,llano,prostý,einfach,równina
plateau,plateau,meseta,náhorní plošina,Hochebene,płaskowyż
playa,playa,playa,playa,playa,playa
point,point,punto,bod,Punkt,punkt
pond,étang,estanque,rybník,Teich,staw
prairie,prairie,pradera,prérie,Prärie,preria
promontory,promontoire,promontorio,promontory,Vorgebirge,cypel
range,gamme,gama,rozsah,Bereich,zakres
rapids,rapides,rápidos,rapids,Stromschnellen,bystrza
ravine,ravin,barranco,rokle,Schlucht,wąwóz
reef,récif,arrecife,útes,Riff,rafa
ria,ria,ria,ria,ria,ria
ridge,crête,cresta,hřeben,Kamm,grzbiet
rift valley,vallée du rift,fosa tectónica,riftové údolí,Grabenbruch,dolina ryftowa
rill,rill,rill,rill,Rille,kryza
rise,hausse,subir,rise,aufsteigen,wzrost
river,rivière,río,řeka,Fluss,rzeka
river delta,delta du fleuve,delta del río,říční delta,Flussdelta,delta rzeki
riverbed,lit de rivière,lecho del río,koryto řeky,Flussbett,koryto rzeki
rivulet,ruisseau,riachuelo,rivulet,Nieselregen,ruczaj
rock,rocher,roca,rock,Felsen,skała
salt marsh,marais salé,marisma salobre,slaný močál,Salzwiese,słone bagno
sand dune,dune de sable,duna de arena,písečná duna,Sanddüne,piaszczysta wydma
sandbar,barre de sable,banco de arena,pískovna,Sandbank,piaskownica
scarp,escarpement,escarpa,scarp,Steilhang,skarpa
scree,éboulis,pedregal,scree,Geröll,piarg
sea,mer,mar,moře,Meer,morze
sea cave,grotte marine,cueva marina,mořská jeskyně,Seehöhle,jaskinia morska
seabed,fonds marins,fondo marino,mořské dno,Meeresboden,dno morskie
seashore,bord de mer,orilla del mar,pobřeží,Meeresküste,wybrzeże
shallows,bas-fonds,bajíos,mělčiny,Untiefen,płycizny
shoal,banc,shoal,mělčina,Schwarm,mielizna
shore,rivage,orilla,pobřeží,Landseite,brzeg
shoreline,littoral,costa,pobřeží,Küste,linia brzegowa
slope,pente,pendiente,svah,Piste,nachylenie
slough,bourbier,slough,slough,.,bagno
sound,son,sonido,zvuk,Klang,dźwięk
source,source,fuente,zdroj,Quelle,źródło
spit,cracher,escupir,spit,spucken,pluć
spring,printemps,primavera,jaro,Feder,wiosna
strait,droit,estrecho,úžina,strait,cieśnina
stream,flux,flujo,stream,Strom,strumień
summit,sommet,cumbre,summit,Gipfel,szczyt
surf,surf,surf,surfování,surfen,surfować
swamp,marécage,pantano,bažina,Sumpf,bagno
tableland,terre de table,tableland,tableland,Tafelland,tableland
tar pit,puits de goudron,pozo de alquitrán,dehtová jáma,Teergrube,smołownia
terrace,terrasse,terraza,terasa,Terrasse,taras
terrain,terrain,terreno,terén,Gelände,teren
tidal basin,bassin de marée,cuenca mareal,přílivová nádrž,Gezeitenbecken,basen pływowy
topography,topographie,topografía,topografie,Topographie,topografia
tributary,affluent,afluente,přítok,Nebenfluss,dopływ
tundra,toundra,tundra,tundra,Tundra,tundra
U-shaped valley,Vallée en U,Valle en forma de U,Údolí ve tvaru písmene U,U-förmiges Tal,Dolina w kształcie litery U
vale,val,vale,vale,vale,dolina
valley,vallée,valle,údolí,Tal,dolina
vent,évent,ventilación,ventilace,Entlüftung,odpowietrznik
volcano,volcan,volcán,sopka,Vulkan,wulkan
waterfall,chute d'eau,cascada,vodopád,Wasserfall,wodospad
watershed,bassin versant,cuenca,povodí,Wassereinzugsgebiet,dział wodny
wetland,zone humide,humedal,mokřady,Feuchtgebiet,mokradła
yardang,yardang,yardang,yardang,Yardang,yardang
