EN,FR,ES,CS,DE,PL
academy,académie,academia,akademie,akademie,akademia
admiral,amiral,almirante,admirál,Admiral,admirał
advance,avancer,avance,předem,Vorschuss,zaliczka
Air Force,Armée de l'air,Ejército del Aire,Letectvo,Luftwaffe,Siły powietrzne
aircraft,avion,avión,letadlo,Flugzeug,samolot
aircraft carrier,porte-avions,portaaviones,letadlová loď,Flugzeugträger,lotniskowiec
ally,allié,ally,ally,ally,sojusznik
ammo,munitions,munición,munice,Munition,amunicja
ammunition,munitions,munición,munice,Munition,amunicja
amphibious vehicle,véhicule amphibie,vehículo anfibio,obojživelné vozidlo,Amphibienfahrzeug,pojazd amfibijny
armistice,armistice,armisticio,příměří,Waffenstillstand,zawieszenie broni
armor,armure,armadura,brnění,Rüstung,zbroja
armored vehicle,véhicule blindé,vehículo blindado,obrněné vozidlo,gepanzertes Fahrzeug,pojazd opancerzony
armory,armurerie,armería,zbrojnice,Waffenkammer,zbrojownia
arms,bras,brazos,zbraně,Arme,broń
army,armée,ejército,armáda,Armee,armia
arrow,flèche,flecha,šipka,Pfeil,strzałka
arsenal,arsenal,arsenal,arsenal,arsenal,arsenał
artillery,artillerie,artillería,dělostřelectvo,Artillerie,artyleria
assault,agression,asalto,útok,Angriff,atak
at ease,à l'aise,a gusto,v klidu,entspannt,na luzie
attack,attaque,ataque,útok,angreifen,atak
attention,attention,atención,Pozor,Achtung,uwaga
ballistic,balistique,balística,balistické,ballistisch,balistyczny
barracks,casernes,cuartel,kasárna,Kaserne,koszary
base,base,base,základna,Basis,baza
battalion,bataillon,batallón,prapor,Bataillon,batalion
battery,batterie,batería,baterie,Batterie,bateria
battle,bataille,batalla,bitva,Schlacht,bitwa
battlefield,champ de bataille,campo de batalla,bojiště,Schlachtfeld,pole bitwy
battleship,cuirassé,acorazado,bitevní loď,Schlachtschiff,pancernik
bayonet,baïonnette,bayoneta,bajonet,Bajonett,bagnet
besiege,assiéger,sitiar,oblehnout,belagern,oblężenie
