EN,FR,ES,CS,DE,PL
aerobics,aérobic,aeróbic,aerobik,Aerobic,aerobik
archer,archer,arquero,Archer,Bogenschütze,łucznik
archery,tir à l'arc,tiro con arco,lukostřelba,Bogenschießen,łucznictwo
arena,arène,arena,aréna,arena,arena
arrow,flèche,flecha,šipka,Pfeil,strzałka
athlete,athlète,atleta,sportovec,Athleten,sportowiec
athletics,athlétisme,atletismo,atletika,Leichtathletik,lekkoatletyka
axel,essieu,axel,axel,axel,oś
badminton,badminton,bádminton,badminton,Badminton,badminton
ball,balle,bola,míč,Kugel,piłka
base,base,base,základna,Basis,baza
baseball,baseball,béisbol,baseball,Baseball,baseball
basketball,basket-ball,baloncesto,basketbal,Basketball,koszykówka
bat,chauve-souris,murciélago,netopýr,Fledermaus,nietoperz
baton,matraque,baton,baton,Staffelstab,pałeczka
batter,pâte à modeler,bateador,těsto,Teig,ciasto
batting,battue,bateo,odpalování,Schläge,mrugnięcie
biathlon,biathlon,biatlón,biatlon,Biathlon,biathlon
bicycle,bicyclette,bicicleta,jízdní kolo,Fahrrad,rower
bicycling,bicyclette,ciclismo,jízda na kole,Fahrradfahren,jazda na rowerze
bike,vélo,bicicleta,kolo,Fahrrad,rower
biking,vélo,ciclismo,cyklistika,Radfahren,jazda na rowerze
billiards,billard,billar,kulečník,Billard,bilard
bobsleigh,bobsleigh,bobsleigh,bobová dráha,Bobfahren,bobslej
bocce,pétanque,bochas,bocce,Boccia,bocce
boomerang,boomerang,boomerang,bumerang,Bumerang,bumerang
boules,boules,petanca,boule,boules,bule
bow,arc,arco,luk,Bogen,łuk
bowler,joueur de quilles,bombín,bowler,Bowler,melonik
bowling,bowling,bolera,bowling,Bowling,kręgle
boxer,boxeur,boxeador,boxer,Boxer,bokser
boxing,boxe,boxeo,box,Boxen,boks
bronze medal,médaille de bronze,medalla de bronce,bronzová medaile,Bronzemedaille,brązowy medal
bunt,amortisseur,bunt,bunt,bunt,bunt
canoe,canoë,canoa,kanoe,Kanu,kajak
canoeing,canoë,piragüismo,kanoistika,Kanufahren,kajakarstwo
catch,attraper,captura,zachytit,fangen,połów
catcher,attrapeur,receptor,catcher,Fänger,łapacz
champion,champion,campeón,šampion,Meister,mistrz
championship,championnat,campeonato,šampionát,Meisterschaft,mistrzostwa
cleats,crampons,tacos,cepíny,Stollen,korki
club,club,club,klub,Verein,klub
coach,entraîneur,entrenador,trenér,Coach,trener
compete,concourir,compita,soutěžit,konkurrieren,konkurować
competing,en concurrence,compitiendo,konkurenční,konkurrierend,konkurujący
competition,concurrence,concurso,soutěž,Wettbewerb,konkurencja
competitor,concurrent,competidor,konkurent,Mitbewerber,konkurent
crew,équipage,tripulación,posádka,Mannschaft,załoga
cricket,cricket,cricket,kriket,Kricket,krykiet
croquet,croquet,croquet,kroket,Krocket,krokiet
cross country,cross country,campo a través,cross country,querfeldein,cross country
cue,repère,cue,cue,Stichwort,wskazówka
curling,curling,rizado,curling,Curling,curling
cycle,cycle,ciclo,cyklus,Zyklus,cykl
cycling,cyclisme,ciclismo,cyklistika,Radfahren,jazda na rowerze
cyclist,cycliste,ciclista,cyklista,Radfahrer,rowerzysta
dart,fléchette,dardo,šipky,Dart,rzutka
dartboard,fléchette,diana,šipky,Dartscheibe,tarcza
deadlifting,deadlifting,peso muerto,mrtvý tah,Deadlifting,martwy ciąg
decathlon,décathlon,decathlon,decathlon,Zehnkampf,dziesięciobój
defense,défense,defensa,obrana,Verteidigung,obrona
diamond,diamant,diamante,diamant,Diamant,diament
discus,disque,disco,disk,Diskus,dysk
dive,plonger,bucear,potápění,Tauchen,nurkowanie
diver,plongeur,buceador,potápěč,Taucher,nurek
diving,plongée,buceo,potápění,Tauchen,nurkowanie
dodgeball,balle au prisonnier,balón prisionero,vybíjená,Völkerball,unihokej
doubleheader,programme double,doble jornada,dvojzápas,Doubleheader,doubleheader
dugout,pirogue,dugout,dugout,Einbaum,ziemianka
épée,épée,épée,épée,épée,épée
equestrian,équestre,ecuestre,jezdectví,Reitsport,jeździectwo
equipment,équipement,equipo,vybavení,Ausrüstung,wyposażenie
exercise,exercice,ejercicio,cvičení,Übung,ćwiczenie
fencing,clôture,vallado,oplocení,Fechten,ogrodzenie
field,champ,campo,pole,Feld,pole
field hockey,hockey sur gazon,hockey sobre hierba,pozemní hokej,Feldhockey,hokej na trawie
fielder,joueur de champ,jardinero,fielder,Feldspieler,fielder
fielding,champ,campo,pole,Feldarbeit,fielding
figure skating,patinage artistique,patinaje artístico,krasobruslení,Eiskunstlauf,łyżwiarstwo figurowe
fitness,la remise en forme,fitness,fitness,Fitness,fitness
football,football,fútbol,fotbal,Fußball,piłka nożna
forward,avant,adelante,dopředu,weiter,do przodu
free throw,lancer franc,tiro libre,volný hod,Freiwurf,rzut wolny
Frisbee,Frisbee,Frisbee,Frisbee,Frisbee,Frisbee
game,jeu,juego,hra,Spiel,gra
gear,engrenage,engranaje,převodovka,Getriebe,sprzęt
geocaching,géocaching,geocaching,geocaching,Geocaching,geocaching
go,aller,ir,přejít na,gehen.,iść
goal,objectif,meta,cíl,Ziel,cel
goalie,gardien de but,portero,brankář,Torwart,bramkarz
gold medal,médaille d'or,medalla de oro,zlatá medaile,Goldmedaille,złoty medal
golf,golf,golf,golf,Golf,golf
golfer,golfeur,golfista,golfista,Golfer,golfista
golfing,golf,golf,golf,Golfen,golf
guard,gardien,guardia,stráž,Wache,strażnik
gym,gymnase,gimnasio,tělocvična,Fitnessstudio,siłownia
gymnasium,gymnase,gimnasio,tělocvična,Sporthalle,sala gimnastyczna
gymnast,gymnaste,gimnasta,gymnasta,Turnerin,gimnastyczka
gymnastics,gymnastique,gimnasia,gymnastika,Gymnastik,gimnastyka
halftime,mi-temps,medio tiempo,poločasová přestávka,halbzeit,półmetek
hammer throw,lancer du marteau,lanzamiento de martillo,hod kladivem,Hammerwurf,rzut młotem
handball,handball,balonmano,házená,handball,piłka ręczna
hang gliding,le deltaplane,ala delta,závěsné létání,Drachenfliegen,lotniarstwo
hardball,balle dure,hardball,hardball,Hardball,hardball
helmet,casque,casco,přilba,Helm,kask
heptathlon,heptathlon,heptathlon,sedmiboj,Siebenkampf,heptathlon
high jump,saut en hauteur,salto de altura,skok do výšky,Hochsprung,skok wzwyż
hitter,frappeur,bateador,hitter,Hitter,hitter
hockey,hockey,hockey,hokej,Eishockey,hokej
hole-in-one,trou en un,hoyo en uno,hole-in-one,Hole-in-one,dołek w dołku
home,domicile,Inicio,home,Startseite,dom
home plate,plaque d'immatriculation,home plate,domovská deska,Schlagmal,płyta główna
home run,course à domicile,jonrón,home run,Homerun,home run
home team,équipe locale,equipo local,domácí tým,Heimteam,drużyna gospodarzy
hoop,cerceau,aro,obruč,Reif,obręcz
horseshoes,fers à cheval,herraduras,podkovy,Hufeisen,podkowy
huddle,caucus,huddle,huddle,.,huddle
hurdle,obstacle,valla,překážka,Hürde,przeszkoda
ice hockey,hockey sur glace,hockey sobre hielo,lední hokej,Eishockey,hokej na lodzie
ice rink,patinoire,pista de hielo,ledová plocha,Eislaufbahn,lodowisko
ice skates,patins à glace,patines de hielo,lední brusle,Schlittschuhe,łyżwy
ice skating,patinage sur glace,patinaje sobre hielo,bruslení,Schlittschuhlaufen,łyżwiarstwo
infield,champ intérieur,interior,pole,Infield,pole bramkowe
infielder,joueur de champ,jugador de campo,hráč v poli,Infielder,napastnik
inline skates,patins à roues alignées,patines en línea,inline brusle,Inline-Skates,łyżworolki
inning,inning,en,směna,Inning,rozpoczęcie
jai-alai,jai-alai,jai-alai,jai-alai,jai-alai,jai-alai
javelin,javelot,jabalina,oštěp,Speerwurf,oszczep
jog,jogging,jog,jog,Joggen,jog
jogger,joggeur,jogger,jogger,Jogger,biegacz
judo,judo,judo,judo,Judo,judo
jump,sauter,saltar,skok,springen,skok
jump rope,corde à sauter,saltar a la cuerda,švihadlo,Springseil,skakanka
jumper,sauteur,puente,jumper,Jumper,skoczek
jumping,sauter,saltando,skákání,Springen,skoki
karate,karaté,karate,karate,Karate,karate
kayak,kayak,kayak,kajak,Kajak,kajak
kayaker,kayakiste,kayakista,kajakář,Kajakfahrer,kajakarz
kayaking,kayak,kayak,jízda na kajaku,Kajakfahren,kajakarstwo
kickball,kickball,kickball,kickball,Kickball,piłka kopana
kite,cerf-volant,cometa,drak,Drachen,latawiec
kneepads,genouillères,rodilleras,chrániče kolen,Knieschoner,nakolanniki
kung fu,kung-fu,kung fu,kung fu,Kung-Fu,kung fu
lacrosse,crosse,lacrosse,lakros,Lacrosse,lacrosse
lawn bowling,boulingrin,bolos sobre hierba,bowling na trávníku,Rasenbowling,kręgle na trawie
league,ligue,liga,liga,Liga,liga
long jump,saut en longueur,salto de longitud,skok do dálky,Weitsprung,skok w dal
